index,basho,day,rikishi1_id,rikishi1_rank,rikishi1_shikona,rikishi1_result,rikishi1_win,kimarite,rikishi2_id,rikishi2_rank,rikishi2_shikona,rikishi2_result,rikishi2_win
0,1999.01,1,86,J13w,Futatsukuba,0-1 (2-13),0,yorikiri,129,J13e,Hayateumi,1-0 (6-2-7),1
1,1999.01,1,129,J13e,Hayateumi,1-0 (6-2-7),1,yorikiri,86,J13w,Futatsukuba,0-1 (2-13),0
2,1999.01,1,97,J12w,Tochinohana,0-1 (8-7),0,shitatedashinage,145,J12e,Kobo,1-0 (9-6),1
3,1999.01,1,145,J12e,Kobo,1-0 (9-6),1,shitatedashinage,97,J12w,Tochinohana,0-1 (8-7),0
4,1999.01,1,59,J11e,Susanoumi,0-1 (8-7),0,okuridashi,63,J11w,Otsukasa,1-0 (8-7),1
5,1999.01,1,63,J11w,Otsukasa,1-0 (8-7),1,okuridashi,59,J11e,Susanoumi,0-1 (8-7),0
6,1999.01,1,42,J10e,Mainoumi,0-1 (9-6),0,oshitaoshi,45,J10w,Daishoho,1-0 (9-6),1
7,1999.01,1,45,J10w,Daishoho,1-0 (9-6),1,oshitaoshi,42,J10e,Mainoumi,0-1 (9-6),0
8,1999.01,1,64,J9w,Yotsukasa,0-1 (9-6),0,hikiotoshi,76,J9e,Hoshitango,1-0 (7-8),1
9,1999.01,1,76,J9e,Hoshitango,1-0 (7-8),1,hikiotoshi,64,J9w,Yotsukasa,0-1 (9-6),0
10,1999.01,1,30,J8e,Kitakachidoki,1-0 (8-7),1,hatakikomi,51,J8w,Daizen,0-1 (8-7),0
11,1999.01,1,51,J8w,Daizen,0-1 (8-7),0,hatakikomi,30,J8e,Kitakachidoki,1-0 (8-7),1
12,1999.01,1,37,J7e,Kotoinazuma,1-0 (5-10),1,uwatenage,66,J7w,Wakahayato,0-1 (7-8),0
13,1999.01,1,66,J7w,Wakahayato,0-1 (7-8),0,uwatenage,37,J7e,Kotoinazuma,1-0 (5-10),1
14,1999.01,1,41,J6e,Kyokutenho,0-1 (9-6),0,kimedashi,60,J6w,Toyonoumi,1-0 (7-8),1
15,1999.01,1,60,J6w,Toyonoumi,1-0 (7-8),1,kimedashi,41,J6e,Kyokutenho,0-1 (9-6),0
16,1999.01,1,32,J5e,Akinoshu,0-1 (7-8),0,yorikiri,62,J5w,Daishi,1-0 (6-9),1
17,1999.01,1,62,J5w,Daishi,1-0 (6-9),1,yorikiri,32,J5e,Akinoshu,0-1 (7-8),0
18,1999.01,1,53,J4w,Tokitsunada,0-1 (6-9),0,hatakikomi,58,J4e,Oikari,1-0 (7-8),1
19,1999.01,1,58,J4e,Oikari,1-0 (7-8),1,hatakikomi,53,J4w,Tokitsunada,0-1 (6-9),0
20,1999.01,1,55,J3e,Zenshinyama,0-1 (4-11),0,oshidashi,87,J3w,Wakanoyama,1-0 (7-8),1
21,1999.01,1,87,J3w,Wakanoyama,1-0 (7-8),1,oshidashi,55,J3e,Zenshinyama,0-1 (4-11),0
22,1999.01,1,34,J2e,Asanowaka,1-0 (9-6),1,oshidashi,52,J2w,Tomonohana,0-1 (5-10),0
23,1999.01,1,52,J2w,Tomonohana,0-1 (5-10),0,oshidashi,34,J2e,Asanowaka,1-0 (9-6),1
24,1999.01,1,54,J1e,Ohinode,0-1 (8-7),0,yorikiri,842,J1w,Miyabiyama,1-0 (14-1),1
25,1999.01,1,842,J1w,Miyabiyama,1-0 (14-1),1,yorikiri,54,J1e,Ohinode,0-1 (8-7),0
26,1999.01,1,46,M15e,Dewaarashi,0-1 (4-8-3),0,tsukiotoshi,47,M14e,Chiyotenzan,1-0 (10-5),1
27,1999.01,1,47,M14e,Chiyotenzan,1-0 (10-5),1,tsukiotoshi,46,M15e,Dewaarashi,0-1 (4-8-3),0
28,1999.01,1,36,M13w,Asanosho,1-0 (6-9),1,oshidashi,43,M14w,Kinkaiyama,0-1 (4-11),0
29,1999.01,1,43,M14w,Kinkaiyama,0-1 (4-11),0,oshidashi,36,M13w,Asanosho,1-0 (6-9),1
30,1999.01,1,21,M13e,Asahiyutaka,0-1 (4-9),0,yorikiri,25,M12w,Hamanoshima,1-0 (9-6),1
31,1999.01,1,25,M12w,Hamanoshima,1-0 (9-6),1,yorikiri,21,M13e,Asahiyutaka,0-1 (4-9),0
32,1999.01,1,15,M12e,Oginishiki,1-0 (8-7),1,yorikiri,28,M11w,Mitoizumi,0-1 (8-7),0
33,1999.01,1,28,M11w,Mitoizumi,0-1 (8-7),0,yorikiri,15,M12e,Oginishiki,1-0 (8-7),1
34,1999.01,1,24,M10w,Ganyu,1-0 (8-7),1,yorikiri,27,M11e,Wakanojo,0-1 (6-9),0
35,1999.01,1,27,M11e,Wakanojo,0-1 (6-9),0,yorikiri,24,M10w,Ganyu,1-0 (8-7),1
36,1999.01,1,22,M10e,Gojoro,1-0 (7-8),1,okuridashi,40,M9w,Kaiho,0-1 (6-9),0
37,1999.01,1,40,M9w,Kaiho,0-1 (6-9),0,okuridashi,22,M10e,Gojoro,1-0 (7-8),1
