index,basho,day,rikishi1_id,rikishi1_rank,rikishi1_shikona,rikishi1_result,rikishi1_win,kimarite,rikishi2_id,rikishi2_rank,rikishi2_shikona,rikishi2_result,rikishi2_win
0,2000.01,1,81,J13e,Wakakosho,0-1 (8-7),0,yorikiri,89,J13w,Aminishiki,1-0 (8-7),1
1,2000.01,1,89,J13w,Aminishiki,1-0 (8-7),1,yorikiri,81,J13e,Wakakosho,0-1 (8-7),0
2,2000.01,1,70,J12w,Kitazakura,1-0 (7-8),1,yorikiri,875,J12e,Takamisakari,0-1 (7-8),0
3,2000.01,1,875,J12e,Takamisakari,0-1 (7-8),0,yorikiri,70,J12w,Kitazakura,1-0 (7-8),1
4,2000.01,1,97,J11e,Tochinohana,1-0 (9-6),1,yoritaoshi,145,J11w,Kobo,0-1 (7-8),0
5,2000.01,1,145,J11w,Kobo,0-1 (7-8),0,yoritaoshi,97,J11e,Tochinohana,1-0 (9-6),1
6,2000.01,1,24,J10e,Ganyu,0-1 (7-8),0,yorikiri,152,J10w,Tamanonada,1-0 (5-10),1
7,2000.01,1,152,J10w,Tamanonada,1-0 (5-10),1,yorikiri,24,J10e,Ganyu,0-1 (7-8),0
8,2000.01,1,52,J9e,Tomonohana,1-0 (9-6),1,shitatedashinage,138,J9w,Sentoryu,0-1 (7-8),0
9,2000.01,1,138,J9w,Sentoryu,0-1 (7-8),0,shitatedashinage,52,J9e,Tomonohana,1-0 (9-6),1
10,2000.01,1,22,J8e,Gojoro,1-0 (7-7-1),1,oshidashi,96,J8w,Jumonji,0-1 (8-7),0
11,2000.01,1,96,J8w,Jumonji,0-1 (8-7),0,oshidashi,22,J8e,Gojoro,1-0 (7-7-1),1
12,2000.01,1,65,J7w,Dewataira,1-0 (7-8),1,uwatenage,876,J7e,Kotomitsuki,0-1 (11-4),0
13,2000.01,1,876,J7e,Kotomitsuki,0-1 (11-4),0,uwatenage,65,J7w,Dewataira,1-0 (7-8),1
14,2000.01,1,32,J6w,Akinoshu,1-0 (10-5),1,katasukashi,59,J6e,Susanoumi,0-1 (8-7),0
15,2000.01,1,59,J6e,Susanoumi,0-1 (8-7),0,katasukashi,32,J6w,Akinoshu,1-0 (10-5),1
16,2000.01,1,30,J5w,Kitakachidoki,1-0 (9-6),1,oshidashi,62,J5e,Daishi,0-1 (5-10),0
17,2000.01,1,62,J5e,Daishi,0-1 (5-10),0,oshidashi,30,J5w,Kitakachidoki,1-0 (9-6),1
18,2000.01,1,28,J4e,Mitoizumi,0-1 (8-7),0,yorikiri,46,J4w,Dewaarashi,1-0 (7-8),1
19,2000.01,1,46,J4w,Dewaarashi,1-0 (7-8),1,yorikiri,28,J4e,Mitoizumi,0-1 (8-7),0
20,2000.01,1,27,J3e,Wakanojo,0-1 (3-12),0,hikiotoshi,76,J3w,Hoshitango,1-0 (5-10),1
21,2000.01,1,76,J3w,Hoshitango,1-0 (5-10),1,hikiotoshi,27,J3e,Wakanojo,0-1 (3-12),0
22,2000.01,1,15,J2e,Oginishiki,1-0 (13-2),1,hikiotoshi,64,J2w,Yotsukasa,0-1 (3-12),0
