index,basho,day,rikishi1_id,rikishi1_rank,rikishi1_shikona,rikishi1_result,rikishi1_win,kimarite,rikishi2_id,rikishi2_rank,rikishi2_shikona,rikishi2_result,rikishi2_win
0,1987.01,1,1378,J13e,Hoo,0-1 (5-10),0,tsukidashi,4332,J13w,Tochinohana,1-0 (8-7),1
1,1987.01,1,4332,J13w,Tochinohana,1-0 (8-7),1,tsukidashi,1378,J13e,Hoo,0-1 (5-10),0
2,1987.01,1,1331,J12e,Saganobori,1-0 (8-7),1,shitatenage,4311,J12w,Hakuryu,0-1 (9-6),0
3,1987.01,1,4311,J12w,Hakuryu,0-1 (9-6),0,shitatenage,1331,J12e,Saganobori,1-0 (8-7),1
4,1987.01,1,1377,J11e,Iwatefuji,0-1 (3-12),0,yorikiri,4100,J11w,Kaneshiro,1-0 (8-7),1
5,1987.01,1,4100,J11w,Kaneshiro,1-0 (8-7),1,yorikiri,1377,J11e,Iwatefuji,0-1 (3-12),0
6,1987.01,1,4078,J10w,Oshio,0-1 (6-9),0,tsukidashi,4138,J10e,Tochimatoi,1-0 (10-5),1
7,1987.01,1,4138,J10e,Tochimatoi,1-0 (10-5),1,tsukidashi,4078,J10w,Oshio,0-1 (6-9),0
8,1987.01,1,30,J9w,Kitakachidoki,1-0 (9-6),1,yorikiri,1367,J9e,Fujihikari,0-1 (9-6),0
9,1987.01,1,1367,J9e,Fujihikari,0-1 (9-6),0,yorikiri,30,J9w,Kitakachidoki,1-0 (9-6),1
10,1987.01,1,1375,J8e,Masudayama,1-0 (9-6),1,tsukitaoshi,1476,J8w,Otaka,0-1 (8-7),0
11,1987.01,1,1476,J8w,Otaka,0-1 (8-7),0,tsukitaoshi,1375,J8e,Masudayama,1-0 (9-6),1
12,1987.01,1,1358,J7w,Hoshiiwato,0-1 (6-9),0,yorikiri,1380,J7e,Hidanohana,1-0 (8-7),1
13,1987.01,1,1380,J7e,Hidanohana,1-0 (8-7),1,yorikiri,1358,J7w,Hoshiiwato,0-1 (6-9),0
14,1987.01,1,4130,J6e,Hachiya,1-0 (9-6),1,hatakikomi,4336,J6w,Tamakirin,0-1 (6-9),0
15,1987.01,1,4336,J6w,Tamakirin,0-1 (6-9),0,hatakikomi,4130,J6e,Hachiya,1-0 (9-6),1
