index,basho,day,rikishi1_id,rikishi1_rank,rikishi1_shikona,rikishi1_result,rikishi1_win,kimarite,rikishi2_id,rikishi2_rank,rikishi2_shikona,rikishi2_result,rikishi2_win
0,2001.01,1,70,J13w,Kitazakura,1-0 (10-5),1,oshidashi,163,Ms1e,Senshuyama,0-1 (4-3),0
1,2001.01,1,163,Ms1e,Senshuyama,0-1 (4-3),0,oshidashi,70,J13w,Kitazakura,1-0 (10-5),1
2,2001.01,1,167,J12w,Tamanokuni,1-0 (8-7),1,okuritaoshi,785,J13e,Komidori,0-1 (3-12),0
3,2001.01,1,785,J13e,Komidori,0-1 (3-12),0,okuritaoshi,167,J12w,Tamanokuni,1-0 (8-7),1
4,2001.01,1,74,J11w,Kotokanyu,0-1 (7-8),0,tsukiotoshi,251,J12e,Wakatoryu,1-0 (8-7),1
5,2001.01,1,251,J12e,Wakatoryu,1-0 (8-7),1,tsukiotoshi,74,J11w,Kotokanyu,0-1 (7-8),0
6,2001.01,1,11,J10w,Aogiyama,1-0 (10-5),1,hatakikomi,84,J11e,Tomikaze,0-1 (3-12),0
7,2001.01,1,84,J11e,Tomikaze,0-1 (3-12),0,hatakikomi,11,J10w,Aogiyama,1-0 (10-5),1
8,2001.01,1,52,J9e,Tomonohana,0-1 (7-8),0,yorikiri,874,J10e,Hamanishiki,1-0 (10-5),1
9,2001.01,1,874,J10e,Hamanishiki,1-0 (10-5),1,yorikiri,52,J9e,Tomonohana,0-1 (7-8),0
10,2001.01,1,99,J8e,Komahikari,0-1 (7-8),0,tottari,116,J8w,Wakatsutomu,1-0 (9-6),1
11,2001.01,1,116,J8w,Wakatsutomu,1-0 (9-6),1,tottari,99,J8e,Komahikari,0-1 (7-8),0
12,2001.01,1,58,J7e,Oikari,0-1 (5-8-2),0,hikiotoshi,78,J7w,Toyozakura,1-0 (5-10),1
13,2001.01,1,78,J7w,Toyozakura,1-0 (5-10),1,hikiotoshi,58,J7e,Oikari,0-1 (5-8-2),0
14,2001.01,1,89,J6e,Aminishiki,1-0 (9-6),1,kirikaeshi,199,J6w,Kuniazuma,0-1 (7-8),0
15,2001.01,1,199,J6w,Kuniazuma,0-1 (7-8),0,kirikaeshi,89,J6e,Aminishiki,1-0 (9-6),1
16,2001.01,1,20,J5w,Shikishima,0-1 (0-2-13),0,oshidashi,64,J5e,Yotsukasa,1-0 (7-8),1
17,2001.01,1,64,J5e,Yotsukasa,1-0 (7-8),1,oshidashi,20,J5w,Shikishima,0-1 (0-2-13),0
18,2001.01,1,145,J4w,Kobo,0-1 (5-10),0,yorikiri,149,J4e,Juzan,1-0 (6-9),1
19,2001.01,1,149,J4e,Juzan,1-0 (6-9),1,yorikiri,145,J4w,Kobo,0-1 (5-10),0
20,2001.01,1,63,J3w,Otsukasa,0-1 (10-5),0,oshitaoshi,96,J3e,Jumonji,1-0 (8-7),1
21,2001.01,1,96,J3e,Jumonji,1-0 (8-7),1,oshitaoshi,63,J3w,Otsukasa,0-1 (10-5),0
22,2001.01,1,33,J2w,Terao,0-1 (8-7),0,oshidashi,51,J1w,Daizen,1-0 (6-9),1
23,2001.01,1,51,J1w,Daizen,1-0 (6-9),1,oshidashi,33,J2w,Terao,0-1 (8-7),0
24,2001.01,1,81,M14w,Wakakosho,0-1 (6-9),0,tsukiotoshi,152,J1e,Tamanonada,1-0 (12-3),1
25,2001.01,1,152,J1e,Tamanonada,1-0 (12-3),1,tsukiotoshi,81,M14w,Wakakosho,0-1 (6-9),0
26,2001.01,1,34,M14e,Asanowaka,1-0 (8-7),1,hikiotoshi,88,M13w,Tamarikido,0-1 (6-9),0
27,2001.01,1,88,M13w,Tamarikido,0-1 (6-9),0,hikiotoshi,34,M14e,Asanowaka,1-0 (8-7),1
28,2001.01,1,62,M13e,Daishi,0-1 (7-8),0,yorikiri,878,M12w,Asashoryu,1-0 (9-6),1
29,2001.01,1,878,M12w,Asashoryu,1-0 (9-6),1,yorikiri,62,M13e,Daishi,0-1 (7-8),0
30,2001.01,1,18,M12e,Takatoriki,0-1 (8-7),0,yorikiri,43,M11e,Kinkaiyama,1-0 (6-9),1
31,2001.01,1,43,M11e,Kinkaiyama,1-0 (6-9),1,yorikiri,18,M12e,Takatoriki,0-1 (8-7),0
32,2001.01,1,15,M10w,Oginishiki,0-1 (0-2-13),0,oshitaoshi,16,M11w,Minatofuji,1-0 (6-9),1
33,2001.01,1,16,M11w,Minatofuji,1-0 (6-9),1,oshitaoshi,15,M10w,Oginishiki,0-1 (0-2-13),0
34,2001.01,1,35,M10e,Kyokushuzan,0-1 (8-7),0,shitatenage,50,M9w,Tokitsuumi,1-0 (8-7),1
35,2001.01,1,50,M9w,Tokitsuumi,1-0 (8-7),1,shitatenage,35,M10e,Kyokushuzan,0-1 (8-7),0
36,2001.01,1,25,M9e,Hamanoshima,0-1 (6-9),0,kotenage,41,M8e,Kyokutenho,1-0 (10-5),1
37,2001.01,1,41,M8e,Kyokutenho,1-0 (10-5),1,kotenage,25,M9e,Hamanoshima,0-1 (6-9),0
