index,basho,day,rikishi1_id,rikishi1_rank,rikishi1_shikona,rikishi1_result,rikishi1_win,kimarite,rikishi2_id,rikishi2_rank,rikishi2_shikona,rikishi2_result,rikishi2_win
0,2010.01,1,96,J14w,Jumonji,0-1 (6-9),0,oshidashi,11784,J14e,Myogiryu,1-0 (1-2-12),1
1,2010.01,1,11784,J14e,Myogiryu,1-0 (1-2-12),1,oshidashi,96,J14w,Jumonji,0-1 (6-9),0
2,2010.01,1,4980,J13w,Sokokurai,0-1 (9-6),0,yorikiri,6572,J13e,Gagamaru,1-0 (12-3),1
3,2010.01,1,6572,J13e,Gagamaru,1-0 (12-3),1,yorikiri,4980,J13w,Sokokurai,0-1 (9-6),0
4,2010.01,1,371,J12e,Kyokunankai,0-1 (9-6),0,yorikiri,6620,J12w,Sakaizawa,1-0 (10-5),1
5,2010.01,1,6620,J12w,Sakaizawa,1-0 (10-5),1,yorikiri,371,J12e,Kyokunankai,0-1 (9-6),0
6,2010.01,1,40,J11w,Kaiho,0-1 (8-7),0,kotenage,2831,J11e,Hoshikaze,1-0 (5-10),1
7,2010.01,1,2831,J11e,Hoshikaze,1-0 (5-10),1,kotenage,40,J11w,Kaiho,0-1 (8-7),0
8,2010.01,1,107,J10e,Kasuganishiki,0-1 (6-9),0,hatakikomi,6766,J10w,Kiyoseumi,1-0 (9-6),1
9,2010.01,1,6766,J10w,Kiyoseumi,1-0 (9-6),1,hatakikomi,107,J10e,Kasuganishiki,0-1 (6-9),0
10,2010.01,1,929,J8w,Kirinowaka,0-1 (6-9),0,yorikiri,6769,J9w,Yamamotoyama,1-0 (7-8),1
11,2010.01,1,6769,J9w,Yamamotoyama,1-0 (7-8),1,yorikiri,929,J8w,Kirinowaka,0-1 (6-9),0
12,2010.01,1,78,J8e,Toyozakura,0-1 (7-8),0,oshidashi,5984,J9e,Shirononami,1-0 (6-9),1
13,2010.01,1,5984,J9e,Shirononami,1-0 (6-9),1,oshidashi,78,J8e,Toyozakura,0-1 (7-8),0
14,2010.01,1,795,J7e,Tamaasuka,0-1 (5-10),0,hikiotoshi,898,J7w,Chiyohakuho,1-0 (7-8),1
15,2010.01,1,898,J7w,Chiyohakuho,1-0 (7-8),1,hikiotoshi,795,J7e,Tamaasuka,0-1 (5-10),0
16,2010.01,1,113,J6e,Asofuji,0-1 (8-7),0,oshidashi,2847,J6w,Masatsukasa,1-0 (9-6),1
17,2010.01,1,2847,J6w,Masatsukasa,1-0 (9-6),1,oshidashi,113,J6e,Asofuji,0-1 (8-7),0
18,2010.01,1,13,J5e,Tosanoumi,1-0 (8-7),1,oshidashi,226,J5w,Wakatenro,0-1 (5-10),0
19,2010.01,1,226,J5w,Wakatenro,0-1 (5-10),0,oshidashi,13,J5e,Tosanoumi,1-0 (8-7),1
20,2010.01,1,865,J4w,Kasugao,0-1 (9-6),0,oshidashi,900,J4e,Wakakoyu,1-0 (8-7),1
21,2010.01,1,900,J4e,Wakakoyu,1-0 (8-7),1,oshidashi,865,J4w,Kasugao,0-1 (9-6),0
22,2010.01,1,2834,J3e,Futeno,0-1 (4-11),0,oshidashi,6010,J3w,Kimurayama,1-0 (7-8),1
23,2010.01,1,6010,J3w,Kimurayama,1-0 (7-8),1,oshidashi,2834,J3e,Futeno,0-1 (4-11),0
24,2010.01,1,206,J2w,Kotokasuga,0-1 (5-10),0,yorikiri,6463,J2e,Okinoumi,1-0 (10-5),1
25,2010.01,1,6463,J2e,Okinoumi,1-0 (10-5),1,yorikiri,206,J2w,Kotokasuga,0-1 (5-10),0
26,2010.01,1,2930,J1e,Tokusegawa,0-1 (9-6),0,oshidashi,6034,J1w,Sagatsukasa,1-0 (9-6),1
27,2010.01,1,6034,J1w,Sagatsukasa,1-0 (9-6),1,oshidashi,2930,J1e,Tokusegawa,0-1 (9-6),0
28,2010.01,1,1106,M16e,Koryu,0-1 (3-12),0,hatakikomi,6467,M16w,Toyohibiki,1-0 (12-3),1
29,2010.01,1,6467,M16w,Toyohibiki,1-0 (12-3),1,hatakikomi,1106,M16e,Koryu,0-1 (3-12),0
30,2010.01,1,10,M15w,Tochinonada,0-1 (5-10),0,oshidashi,813,M15e,Kitataiki,1-0 (9-6),1
31,2010.01,1,813,M15e,Kitataiki,1-0 (9-6),1,oshidashi,10,M15w,Tochinonada,0-1 (5-10),0
32,2010.01,1,1011,M14w,Hakuba,1-0 (9-6),1,yoritaoshi,1087,M14e,Iwakiyama,0-1 (9-6),0
33,2010.01,1,1087,M14e,Iwakiyama,0-1 (9-6),0,yoritaoshi,1011,M14w,Hakuba,1-0 (9-6),1
34,2010.01,1,152,M13e,Tamanoshima,0-1 (7-8),0,uwatenage,1018,M13w,Shimotori,1-0 (8-7),1
35,2010.01,1,1018,M13w,Shimotori,1-0 (8-7),1,uwatenage,152,M13e,Tamanoshima,0-1 (7-8),0
36,2010.01,1,6018,M12e,Homasho,1-0 (9-6),1,yorikiri,7115,M12w,Tosayutaka,0-1 (10-5),0
37,2010.01,1,7115,M12w,Tosayutaka,0-1 (10-5),0,yorikiri,6018,M12e,Homasho,1-0 (9-6),1
38,2010.01,1,875,M11e,Takamisakari,1-0 (7-8),1,yoritaoshi,1136,M11w,Mokonami,0-1 (6-9),0
39,2010.01,1,1136,M11w,Mokonami,0-1 (6-9),0,yoritaoshi,875,M11e,Takamisakari,1-0 (7-8),1
40,2010.01,1,6473,M10e,Tochiozan,0-1 (8-7),0,hatakikomi,6771,M10w,Aran,1-0 (10-5),1
41,2010.01,1,6771,M10w,Aran,1-0 (10-5),1,hatakikomi,6473,M10e,Tochiozan,0-1 (8-7),0
42,2010.01,1,1141,M9w,Shotenro,1-0 (3-12),1,hikiotoshi,1187,M9e,Kokkai,0-1 (5-10),0
43,2010.01,1,1187,M9e,Kokkai,0-1 (5-10),0,hikiotoshi,1141,M9w,Shotenro,1-0 (3-12),1
44,2010.01,1,1009,M8w,Asasekiryu,0-1 (6-9),0,okuridashi,2818,M8e,Tokitenku,1-0 (5-5-5),1
45,2010.01,1,2818,M8e,Tokitenku,1-0 (5-5-5),1,okuridashi,1009,M8w,Asasekiryu,0-1 (6-9),0
46,2010.01,1,39,M7w,Wakanosato,1-0 (9-6),1,sukuinage,5944,M7e,Tamawashi,0-1 (8-7),0
47,2010.01,1,5944,M7e,Tamawashi,0-1 (8-7),0,sukuinage,39,M7w,Wakanosato,1-0 (9-6),1
48,2010.01,1,89,M6w,Aminishiki,1-0 (11-4),1,oshidashi,864,M6e,Bushuyama,0-1 (2-13),0
49,2010.01,1,864,M6e,Bushuyama,0-1 (2-13),0,oshidashi,89,M6w,Aminishiki,1-0 (11-4),1
50,2010.01,1,41,M5w,Kyokutenho,1-0 (8-7),1,yorikiri,5967,M5e,Yoshikaze,0-1 (6-9),0
51,2010.01,1,5967,M5e,Yoshikaze,0-1 (6-9),0,yorikiri,41,M5w,Kyokutenho,1-0 (8-7),1
52,2010.01,1,1204,M4e,Kakizoe,1-0 (6-9),1,oshidashi,1284,M4w,Takekaze,0-1 (6-9),0
53,2010.01,1,1284,M4w,Takekaze,0-1 (6-9),0,oshidashi,1204,M4e,Kakizoe,1-0 (6-9),1
54,2010.01,1,8,S1w,Chiyotaikai,0-1 (0-4),0,oshidashi,1235,M3w,Kisenosato,1-0 (9-6),1
55,2010.01,1,1235,M3w,Kisenosato,1-0 (9-6),1,oshidashi,8,S1w,Chiyotaikai,0-1 (0-4),0
56,2010.01,1,135,M3e,Hokutoriki,0-1 (3-12),0,oshidashi,6432,S1e,Baruto,1-0 (12-3),1
57,2010.01,1,6432,S1e,Baruto,1-0 (12-3),1,oshidashi,135,M3e,Hokutoriki,0-1 (3-12),0
58,2010.01,1,7,O2w,Kaio,0-1 (9-6),0,oshidashi,842,M2w,Miyabiyama,1-0 (5-10),1
59,2010.01,1,842,M2w,Miyabiyama,1-0 (5-10),1,oshidashi,7,O2w,Kaio,0-1 (9-6),0
60,2010.01,1,876,O2e,Kotomitsuki,0-1 (1-7-7),0,shitatenage,6468,M2e,Goeido,1-0 (7-8),1
61,2010.01,1,6468,M2e,Goeido,1-0 (7-8),1,shitatenage,876,O2e,Kotomitsuki,0-1 (1-7-7),0
62,2010.01,1,1111,O1w,Harumafuji,1-0 (10-5),1,uchimuso,6599,M1w,Tochinoshin,0-1 (5-10),0
63,2010.01,1,6599,M1w,Tochinoshin,0-1 (5-10),0,uchimuso,1111,O1w,Harumafuji,1-0 (10-5),1
64,2010.01,1,1227,M1e,Toyonoshima,0-1 (8-7),0,yorikiri,2830,O1e,Kotooshu,1-0 (9-6),1
