index,basho,day,rikishi1_id,rikishi1_rank,rikishi1_shikona,rikishi1_result,rikishi1_win,kimarite,rikishi2_id,rikishi2_rank,rikishi2_shikona,rikishi2_result,rikishi2_win
0,2018.01,1,9077,J14w,Kizenryu,0-1 (3-12),0,yorikiri,12425,Ms1e,Yago,1-0 (5-2),1
1,2018.01,1,12425,Ms1e,Yago,1-0 (5-2),1,yorikiri,9077,J14w,Kizenryu,0-1 (3-12),0
2,2018.01,1,11918,J14e,Akua,0-1 (4-11),0,oshidashi,12040,J13w,Daishoho,1-0 (9-6),1
3,2018.01,1,12040,J13w,Daishoho,1-0 (9-6),1,oshidashi,11918,J14e,Akua,0-1 (4-11),0
4,2018.01,1,6600,J12w,Tochihiryu,0-1 (4-11),0,tsukidashi,12406,J13e,Mitoryu,1-0 (8-7),1
5,2018.01,1,12406,J13e,Mitoryu,1-0 (8-7),1,tsukidashi,6600,J12w,Tochihiryu,0-1 (4-11),0
6,2018.01,1,11989,J12e,Yamaguchi,0-1 (2-12-1),0,yorikiri,12077,J11w,Takagenji,1-0 (8-7),1
7,2018.01,1,12077,J11w,Takagenji,1-0 (8-7),1,yorikiri,11989,J12e,Yamaguchi,0-1 (2-12-1),0
8,2018.01,1,6559,J10e,Seiro,0-1 (8-7),0,oshidashi,7153,J10w,Kotoeko,1-0 (9-6),1
9,2018.01,1,7153,J10w,Kotoeko,1-0 (9-6),1,oshidashi,6559,J10e,Seiro,0-1 (8-7),0
10,2018.01,1,11855,J9e,Takanosho,1-0 (9-6),1,oshidashi,11987,J8w,Osunaarashi,0-1 (1-8-6),0
11,2018.01,1,11987,J8w,Osunaarashi,0-1 (1-8-6),0,oshidashi,11855,J9e,Takanosho,1-0 (9-6),1
12,2018.01,1,7143,J8e,Amakaze,1-0 (8-7),1,yorikiri,8904,J7w,Homarefuji,0-1 (7-8),0
13,2018.01,1,8904,J7w,Homarefuji,0-1 (7-8),0,yorikiri,7143,J8e,Amakaze,1-0 (8-7),1
14,2018.01,1,2879,J7e,Sadanoumi,0-1 (9-6),0,yorikiri,11840,J6w,Chiyonoo,1-0 (8-7),1
15,2018.01,1,11840,J6w,Chiyonoo,1-0 (8-7),1,yorikiri,2879,J7e,Sadanoumi,0-1 (9-6),0
16,2018.01,1,6572,J5w,Gagamaru,0-1 (8-7),0,yorikiri,12113,J6e,Tsurugisho,1-0 (7-8),1
17,2018.01,1,12113,J6e,Tsurugisho,1-0 (7-8),1,yorikiri,6572,J5w,Gagamaru,0-1 (8-7),0
18,2018.01,1,11726,J5e,Tokushoryu,1-0 (8-7),1,yorikiri,11946,J4w,Meisei,0-1 (8-7),0
19,2018.01,1,11946,J4w,Meisei,0-1 (8-7),0,yorikiri,11726,J5e,Tokushoryu,1-0 (8-7),1
20,2018.01,1,7239,J4e,Kyokushuho,0-1 (8-7),0,yorikiri,12026,J3w,Hidenoumi,1-0 (10-5),1
21,2018.01,1,12026,J3w,Hidenoumi,1-0 (10-5),1,yorikiri,7239,J4e,Kyokushuho,0-1 (8-7),0
22,2018.01,1,11723,J2e,Azumaryu,1-0 (7-8),1,oshidashi,11786,J2w,Aoiyama,0-1 (9-6),0
23,2018.01,1,11786,J2w,Aoiyama,0-1 (9-6),0,oshidashi,11723,J2e,Azumaryu,1-0 (7-8),1
24,2018.01,1,8899,J1w,Kyokutaisei,1-0 (8-7),1,yorikiri,11784,J1e,Myogiryu,0-1 (10-5),0
25,2018.01,1,11784,J1e,Myogiryu,0-1 (10-5),0,yorikiri,8899,J1w,Kyokutaisei,1-0 (8-7),1
26,2018.01,1,12273,M17e,Daiamami,0-1 (8-7),0,uwatenage,12291,M16w,Asanoyama,1-0 (9-6),1
27,2018.01,1,12291,M16w,Asanoyama,1-0 (9-6),1,uwatenage,12273,M17e,Daiamami,0-1 (8-7),0
28,2018.01,1,6594,M16e,Ryuden,1-0 (10-5),1,uwatenage,6596,M15w,Nishikigi,0-1 (8-7),0
29,2018.01,1,6596,M15w,Nishikigi,0-1 (8-7),0,uwatenage,6594,M16e,Ryuden,1-0 (10-5),1
30,2018.01,1,12051,M15e,Ishiura,1-0 (9-6),1,yoritaoshi,12292,M14w,Yutakayama,0-1 (9-6),0
31,2018.01,1,12292,M14w,Yutakayama,0-1 (9-6),0,yoritaoshi,12051,M15e,Ishiura,1-0 (9-6),1
32,2018.01,1,11985,M13w,Daieisho,1-0 (9-6),1,tsukiotoshi,12094,M14e,Abi,0-1 (10-5),0
33,2018.01,1,12094,M14e,Abi,0-1 (10-5),0,tsukiotoshi,11985,M13w,Daieisho,1-0 (9-6),1
34,2018.01,1,1284,M13e,Takekaze,0-1 (5-10),0,oshidashi,11845,M12w,Kagayaki,1-0 (9-6),1
35,2018.01,1,11845,M12w,Kagayaki,1-0 (9-6),1,oshidashi,1284,M13e,Takekaze,0-1 (5-10),0
36,2018.01,1,4980,M12e,Sokokurai,0-1 (6-9),0,oshidashi,12144,M11w,Daishomaru,1-0 (7-8),1
37,2018.01,1,12144,M11w,Daishomaru,1-0 (7-8),1,oshidashi,4980,M12e,Sokokurai,0-1 (6-9),0
38,2018.01,1,89,M10w,Aminishiki,0-1 (3-9-3),0,hatakikomi,9079,M11e,Kotoyuki,1-0 (7-8),1
39,2018.01,1,9079,M11e,Kotoyuki,1-0 (7-8),1,hatakikomi,89,M10w,Aminishiki,0-1 (3-9-3),0
40,2018.01,1,7240,M9w,Chiyomaru,1-0 (9-6),1,yorikiri,11927,M10e,Terunofuji,0-1 (0-8-7),0
41,2018.01,1,11927,M10e,Terunofuji,0-1 (0-8-7),0,yorikiri,7240,M9w,Chiyomaru,1-0 (9-6),1
42,2018.01,1,6614,M9e,Shohozan,0-1 (9-6),0,kotenage,6753,M8w,Kaisei,1-0 (8-7),1
43,2018.01,1,6753,M8w,Kaisei,1-0 (8-7),1,kotenage,6614,M9e,Shohozan,0-1 (9-6),0
44,2018.01,1,6473,M8e,Tochiozan,1-0 (6-6-3),1,oshidashi,6642,M7w,Chiyonokuni,0-1 (6-9),0
45,2018.01,1,6642,M7w,Chiyonokuni,0-1 (6-9),0,oshidashi,6473,M8e,Tochiozan,1-0 (6-6-3),1
46,2018.01,1,6491,M6w,Ikioi,0-1 (4-11),0,hatakikomi,11785,M7e,Chiyoshoma,1-0 (6-9),1
47,2018.01,1,11785,M7e,Chiyoshoma,1-0 (6-9),1,hatakikomi,6491,M6w,Ikioi,0-1 (4-11),0
48,2018.01,1,11728,M6e,Takarafuji,0-1 (8-7),0,sukuinage,12055,M5w,Endo,1-0 (9-6),1
