index,basho,day,rikishi1_id,rikishi1_rank,rikishi1_shikona,rikishi1_result,rikishi1_win,kimarite,rikishi2_id,rikishi2_rank,rikishi2_shikona,rikishi2_result,rikishi2_win
0,1995.01,1,144,J13w,Ryudo,0-1 (10-5),0,shitatenage,177,J13e,Mutetsuyama,1-0 (4-11),1
1,1995.01,1,177,J13e,Mutetsuyama,1-0 (4-11),1,shitatenage,144,J13w,Ryudo,0-1 (10-5),0
2,1995.01,1,66,J12e,Wakahayato,0-1 (4-11),0,yoritaoshi,157,J12w,Tomoefuji,1-0 (11-4),1
3,1995.01,1,157,J12w,Tomoefuji,1-0 (11-4),1,yoritaoshi,66,J12e,Wakahayato,0-1 (4-11),0
4,1995.01,1,67,J11w,Tochinofuji,1-0 (8-7),1,hikiotoshi,1303,J11e,Kotofuji,0-1 (8-7),0
5,1995.01,1,1303,J11e,Kotofuji,0-1 (8-7),0,hikiotoshi,67,J11w,Tochinofuji,1-0 (8-7),1
6,1995.01,1,134,J10e,Tsurunofuji,1-0 (8-7),1,oshidashi,1309,J10w,Tamakairiki,0-1 (2-13),0
7,1995.01,1,1309,J10w,Tamakairiki,0-1 (2-13),0,oshidashi,134,J10e,Tsurunofuji,1-0 (8-7),1
8,1995.01,1,138,J9e,Sentoryu,0-1 (6-9),0,tsukiotoshi,1297,J9w,Dairyu,1-0 (8-7),1
9,1995.01,1,1297,J9w,Dairyu,1-0 (8-7),1,tsukiotoshi,138,J9e,Sentoryu,0-1 (6-9),0
10,1995.01,1,174,J8w,Mutsuhokkai,1-0 (8-7),1,uwatenage,1289,J8e,Rikio,0-1 (8-7),0
11,1995.01,1,1289,J8e,Rikio,0-1 (8-7),0,uwatenage,174,J8w,Mutsuhokkai,1-0 (8-7),1
12,1995.01,1,60,J7e,Toyonoumi,1-0 (8-7),1,yorikiri,1310,J7w,Kirinishiki,0-1 (4-11),0
13,1995.01,1,1310,J7w,Kirinishiki,0-1 (4-11),0,yorikiri,60,J7e,Toyonoumi,1-0 (8-7),1
14,1995.01,1,13,J6e,Tosanoumi,1-0 (11-4),1,oshidashi,1307,J6w,Daishoyama,0-1 (6-9),0
15,1995.01,1,1307,J6w,Daishoyama,0-1 (6-9),0,oshidashi,13,J6e,Tosanoumi,1-0 (11-4),1
16,1995.01,1,87,J5e,Wakanoyama,0-1 (6-9),0,hatakikomi,91,J5w,Hoshiandesu,1-0 (8-7),1
