index,basho,day,rikishi1_id,rikishi1_rank,rikishi1_shikona,rikishi1_result,rikishi1_win,kimarite,rikishi2_id,rikishi2_rank,rikishi2_shikona,rikishi2_result,rikishi2_win
0,2006.01,1,924,J14e,Wakakirin,0-1 (4-11),0,oshidashi,2847,J14w,Masatsukasa,1-0 (6-9),1
1,2006.01,1,2847,J14w,Masatsukasa,1-0 (6-9),1,oshidashi,924,J14e,Wakakirin,0-1 (4-11),0
2,2006.01,1,5985,J13w,Satoyama,1-0 (9-6),1,oshidashi,5988,J13e,Kanbayashi,0-1 (4-11),0
3,2006.01,1,5988,J13e,Kanbayashi,0-1 (4-11),0,oshidashi,5985,J13w,Satoyama,1-0 (9-6),1
4,2006.01,1,206,J12w,Kotokasuga,0-1 (5-10),0,yorikiri,6018,J12e,Homasho,1-0 (10-5),1
5,2006.01,1,6018,J12e,Homasho,1-0 (10-5),1,yorikiri,206,J12w,Kotokasuga,0-1 (5-10),0
6,2006.01,1,222,J11w,Sumanofuji,0-1 (6-9),0,oshidashi,371,J11e,Kyokunankai,1-0 (9-6),1
7,2006.01,1,371,J11e,Kyokunankai,1-0 (9-6),1,oshidashi,222,J11w,Sumanofuji,0-1 (6-9),0
8,2006.01,1,145,J10e,Kobo,0-1 (6-9),0,yorikiri,1136,J10w,Mokonami,1-0 (11-4),1
9,2006.01,1,1136,J10w,Mokonami,1-0 (11-4),1,yorikiri,145,J10e,Kobo,0-1 (6-9),0
10,2006.01,1,795,J9w,Tamaasuka,0-1 (0-3-12),0,sukuinage,1018,J9e,Shimotori,1-0 (7-8),1
11,2006.01,1,1018,J9e,Shimotori,1-0 (7-8),1,sukuinage,795,J9w,Tamaasuka,0-1 (0-3-12),0
12,2006.01,1,92,J8w,Harunoyama,0-1 (7-8),0,hatakikomi,204,J8e,Ryuho,1-0 (11-4),1
13,2006.01,1,204,J8e,Ryuho,1-0 (11-4),1,hatakikomi,92,J8w,Harunoyama,0-1 (7-8),0
14,2006.01,1,40,J7w,Kaiho,1-0 (7-8),1,sukuinage,225,J7e,Takanotsuru,0-1 (6-9),0
15,2006.01,1,225,J7e,Takanotsuru,0-1 (6-9),0,sukuinage,40,J7w,Kaiho,1-0 (7-8),1
