index,basho,day,rikishi1_id,rikishi1_rank,rikishi1_shikona,rikishi1_result,rikishi1_win,kimarite,rikishi2_id,rikishi2_rank,rikishi2_shikona,rikishi2_result,rikishi2_win
0,2014.01,1,6559,J14w,Seiro,1-0 (8-7),1,sotogake,7125,Ms1e,Tanzo,0-1 (3-4),0
1,2014.01,1,7125,Ms1e,Tanzo,0-1 (3-4),0,sotogake,6559,J14w,Seiro,1-0 (8-7),1
2,2014.01,1,2879,J13w,Sadanoumi,0-1 (11-4),0,oshidashi,8154,J14e,Higonojo,1-0 (8-7),1
3,2014.01,1,8154,J14e,Higonojo,1-0 (8-7),1,oshidashi,2879,J13w,Sadanoumi,0-1 (11-4),0
4,2014.01,1,2909,J13e,Sakigake,0-1 (6-9),0,oshidashi,6600,J12e,Tochihiryu,1-0 (7-8),1
5,2014.01,1,6600,J12e,Tochihiryu,1-0 (7-8),1,oshidashi,2909,J13e,Sakigake,0-1 (6-9),0
6,2014.01,1,1215,J12w,Takanoyama,1-0 (4-11),1,okuritaoshi,6010,J11w,Kimurayama,0-1 (4-11),0
7,2014.01,1,6010,J11w,Kimurayama,0-1 (4-11),0,okuritaoshi,1215,J12w,Takanoyama,1-0 (4-11),1
8,2014.01,1,2832,J10w,Arawashi,0-1 (8-7),0,kubinage,4980,J11e,Sokokurai,1-0 (8-7),1
9,2014.01,1,4980,J11e,Sokokurai,1-0 (8-7),1,kubinage,2832,J10w,Arawashi,0-1 (8-7),0
10,2014.01,1,296,J10e,Yoshiazuma,0-1 (7-8),0,shitatedashinage,8900,J9w,Akiseyama,1-0 (5-10),1
11,2014.01,1,8900,J9w,Akiseyama,1-0 (5-10),1,shitatedashinage,296,J10e,Yoshiazuma,0-1 (7-8),0
12,2014.01,1,900,J8w,Wakakoyu,0-1 (6-9),0,kimedashi,7121,J9e,Tokushinho,1-0 (8-7),1
13,2014.01,1,7121,J9e,Tokushinho,1-0 (8-7),1,kimedashi,900,J8w,Wakakoyu,0-1 (6-9),0
14,2014.01,1,6552,J8e,Sotairyu,1-0 (8-7),1,okuridashi,11989,J7w,Daikiho,0-1 (5-10),0
15,2014.01,1,11989,J7w,Daikiho,0-1 (5-10),0,okuridashi,6552,J8e,Sotairyu,1-0 (8-7),1
16,2014.01,1,1009,J7e,Asasekiryu,1-0 (9-6),1,yorikiri,6497,J6w,Daido,0-1 (8-7),0
17,2014.01,1,6497,J6w,Daido,0-1 (8-7),0,yorikiri,1009,J7e,Asasekiryu,1-0 (9-6),1
18,2014.01,1,795,J5w,Tamaasuka,0-1 (9-6),0,hikiotoshi,7240,J6e,Chiyomaru,1-0 (13-2),1
19,2014.01,1,7240,J6e,Chiyomaru,1-0 (13-2),1,hikiotoshi,795,J5w,Tamaasuka,0-1 (9-6),0
20,2014.01,1,39,J4w,Wakanosato,0-1 (5-10),0,tsukiotoshi,6642,J5e,Chiyonokuni,1-0 (7-8),1
21,2014.01,1,6642,J5e,Chiyonokuni,1-0 (7-8),1,tsukiotoshi,39,J4w,Wakanosato,0-1 (5-10),0
22,2014.01,1,8904,J4e,Homarefuji,0-1 (6-9),0,oshidashi,11723,J3w,Azumaryu,1-0 (10-5),1
23,2014.01,1,11723,J3w,Azumaryu,1-0 (10-5),1,oshidashi,8904,J4e,Homarefuji,0-1 (6-9),0
24,2014.01,1,11840,J2w,Chiyoo,0-1 (5-10),0,yorikiri,11971,J3e,Jokoryu,1-0 (10-5),1
