index,basho,day,rikishi1_id,rikishi1_rank,rikishi1_shikona,rikishi1_result,rikishi1_win,kimarite,rikishi2_id,rikishi2_rank,rikishi2_shikona,rikishi2_result,rikishi2_win
0,2019.01,1,6572,J14e,Gagamaru,1-0 (8-7),1,oshitaoshi,12231,Ms1w,Kiribayama,0-1 (4-3),0
1,2019.01,1,12231,Ms1w,Kiribayama,0-1 (4-3),0,oshitaoshi,6572,J14e,Gagamaru,1-0 (8-7),1
2,2019.01,1,11971,J13w,Jokoryu,0-1 (5-9-1),0,yorikiri,12255,J14w,Chiyonoumi,1-0 (8-5-2),1
3,2019.01,1,12255,J14w,Chiyonoumi,1-0 (8-5-2),1,yorikiri,11971,J13w,Jokoryu,0-1 (5-9-1),0
4,2019.01,1,4980,J12w,Sokokurai,0-1 (8-7),0,yorikiri,7239,J13e,Kyokushuho,1-0 (9-6),1
5,2019.01,1,7239,J13e,Kyokushuho,1-0 (9-6),1,yorikiri,4980,J12w,Sokokurai,0-1 (8-7),0
6,2019.01,1,1284,J12e,Takekaze,0-1 (1-9),0,hatakikomi,12113,J11w,Tsurugisho,1-0 (8-7),1
7,2019.01,1,12113,J11w,Tsurugisho,1-0 (8-7),1,hatakikomi,1284,J12e,Takekaze,0-1 (1-9),0
8,2019.01,1,12024,J11e,Shimanoumi,1-0 (13-2),1,okuridashi,12203,J10w,Tobizaru,0-1 (7-8),0
9,2019.01,1,12203,J10w,Tobizaru,0-1 (7-8),0,okuridashi,12024,J11e,Shimanoumi,1-0 (13-2),1
10,2019.01,1,2832,J10e,Arawashi,0-1 (6-9),0,yorikiri,12406,J9w,Mitoryu,1-0 (6-9),1
11,2019.01,1,12406,J9w,Mitoryu,1-0 (6-9),1,yorikiri,2832,J10e,Arawashi,0-1 (6-9),0
12,2019.01,1,8899,J9e,Kyokutaisei,1-0 (7-8),1,oshidashi,12026,J8w,Hidenoumi,0-1 (6-9),0
13,2019.01,1,12026,J8w,Hidenoumi,0-1 (6-9),0,oshidashi,8899,J9e,Kyokutaisei,1-0 (7-8),1
14,2019.01,1,8900,J7w,Akiseyama,0-1 (6-9),0,shitatedashinage,12412,J8e,Enho,1-0 (9-6),1
15,2019.01,1,12412,J8e,Enho,1-0 (9-6),1,shitatedashinage,8900,J7w,Akiseyama,0-1 (6-9),0
16,2019.01,1,7240,J6w,Chiyomaru,1-0 (10-5),1,tsukiotoshi,11723,J7e,Azumaryu,0-1 (7-8),0
17,2019.01,1,11723,J7e,Azumaryu,0-1 (7-8),0,tsukiotoshi,7240,J6w,Chiyomaru,1-0 (10-5),1
18,2019.01,1,1227,J5w,Toyonoshima,0-1 (10-5),0,oshidashi,11943,J6e,Hakuyozan,1-0 (8-7),1
19,2019.01,1,11943,J6e,Hakuyozan,1-0 (8-7),1,oshidashi,1227,J5w,Toyonoshima,0-1 (10-5),0
20,2019.01,1,11726,J4w,Tokushoryu,1-0 (7-8),1,uwatenage,12370,J5e,Wakatakakage,0-1 (7-8),0
21,2019.01,1,12370,J5e,Wakatakakage,0-1 (7-8),0,uwatenage,11726,J4w,Tokushoryu,1-0 (7-8),1
22,2019.01,1,12051,J3w,Ishiura,0-1 (9-6),0,oshidashi,12427,J4e,Tomokaze,1-0 (10-5),1
23,2019.01,1,12427,J4e,Tomokaze,1-0 (10-5),1,oshidashi,12051,J3w,Ishiura,0-1 (9-6),0
24,2019.01,1,89,J3e,Aminishiki,0-1 (3-12),0,oshidashi,11855,J2w,Takanosho,1-0 (2-4-9),1
25,2019.01,1,11855,J2w,Takanosho,1-0 (2-4-9),1,oshidashi,89,J3e,Aminishiki,0-1 (3-12),0
26,2019.01,1,12040,J1w,Daishoho,0-1 (8-7),0,okuridashi,12077,J2e,Takagenji,1-0 (6-9),1
27,2019.01,1,12077,J2e,Takagenji,1-0 (6-9),1,okuridashi,12040,J1w,Daishoho,0-1 (8-7),0
28,2019.01,1,11868,J1e,Terutsuyoshi,1-0 (8-7),1,yorikiri,12144,M16w,Daishomaru,0-1 (3-12),0
29,2019.01,1,12144,M16w,Daishomaru,0-1 (3-12),0,yorikiri,11868,J1e,Terutsuyoshi,1-0 (8-7),1
30,2019.01,1,6642,M15e,Chiyonokuni,1-0 (8-3-4),1,oshidashi,12273,M16e,Daiamami,0-1 (4-11),0
31,2019.01,1,12273,M16e,Daiamami,0-1 (4-11),0,oshidashi,6642,M15e,Chiyonokuni,1-0 (8-3-4),1
32,2019.01,1,7153,M15w,Kotoeko,1-0 (7-8),1,yorikiri,11785,M14w,Chiyoshoma,0-1 (6-9),0
33,2019.01,1,11785,M14w,Chiyoshoma,0-1 (6-9),0,yorikiri,7153,M15w,Kotoeko,1-0 (7-8),1
34,2019.01,1,9079,M13w,Kotoyuki,0-1 (4-7-4),0,oshidashi,12292,M14e,Yutakayama,1-0 (6-9),1
35,2019.01,1,12292,M14e,Yutakayama,1-0 (6-9),1,oshidashi,9079,M13w,Kotoyuki,0-1 (4-7-4),0
36,2019.01,1,11946,M12w,Meisei,0-1 (8-7),0,yoritaoshi,12425,M13e,Yago,1-0 (9-6),1
37,2019.01,1,12425,M13e,Yago,1-0 (9-6),1,yoritaoshi,11946,M12w,Meisei,0-1 (8-7),0
38,2019.01,1,6491,M11w,Ikioi,1-0 (9-6),1,oshidashi,11845,M12e,Kagayaki,0-1 (6-9),0
39,2019.01,1,11845,M12e,Kagayaki,0-1 (6-9),0,oshidashi,6491,M11w,Ikioi,1-0 (9-6),1
40,2019.01,1,2879,M11e,Sadanoumi,1-0 (9-6),1,oshidashi,12094,M10w,Abi,0-1 (10-5),0
41,2019.01,1,12094,M10w,Abi,0-1 (10-5),0,oshidashi,2879,M11e,Sadanoumi,1-0 (9-6),1
42,2019.01,1,11728,M10e,Takarafuji,0-1 (9-6),0,tsukiotoshi,12055,M9w,Endo,1-0 (10-5),1
43,2019.01,1,12055,M9w,Endo,1-0 (10-5),1,tsukiotoshi,11728,M10e,Takarafuji,0-1 (9-6),0
44,2019.01,1,6753,M8e,Kaisei,1-0 (10-5),1,yorikiri,12291,M8w,Asanoyama,0-1 (8-7),0
45,2019.01,1,12291,M8w,Asanoyama,0-1 (8-7),0,yorikiri,6753,M8e,Kaisei,1-0 (10-5),1
46,2019.01,1,6594,M7e,Ryuden,0-1 (6-9),0,tsukidashi,11985,M7w,Daieisho,1-0 (9-6),1
47,2019.01,1,11985,M7w,Daieisho,1-0 (9-6),1,tsukidashi,6594,M7e,Ryuden,0-1 (6-9),0
48,2019.01,1,11934,M6e,Chiyotairyu,0-1 (8-7),0,oshidashi,12043,M6w,Onosho,1-0 (8-7),1
49,2019.01,1,12043,M6w,Onosho,1-0 (8-7),1,oshidashi,11934,M6e,Chiyotairyu,0-1 (8-7),0
50,2019.01,1,5967,M5w,Yoshikaze,0-1 (3-12),0,oshidashi,11786,M5e,Aoiyama,1-0 (7-8),1
51,2019.01,1,11786,M5e,Aoiyama,1-0 (7-8),1,oshidashi,5967,M5w,Yoshikaze,0-1 (3-12),0
52,2019.01,1,1226,M4e,Kotoshogiku,1-0 (6-9),1,yorikiri,6463,M4w,Okinoumi,0-1 (7-8),0
53,2019.01,1,6463,M4w,Okinoumi,0-1 (7-8),0,yorikiri,1226,M4e,Kotoshogiku,1-0 (6-9),1
54,2019.01,1,5944,S1w,Tamawashi,1-0 (13-2),1,tsukiotoshi,6614,M3w,Shohozan,0-1 (5-10),0
55,2019.01,1,6614,M3w,Shohozan,0-1 (5-10),0,tsukiotoshi,5944,S1w,Tamawashi,1-0 (13-2),1
56,2019.01,1,12130,M3e,Shodai,0-1 (7-8),0,tsukidashi,12191,S1e,Takakeisho,1-0 (11-4),1
57,2019.01,1,12191,S1e,Takakeisho,1-0 (11-4),1,tsukidashi,12130,M3e,Shodai,0-1 (7-8),0
58,2019.01,1,6599,O2w,Tochinoshin,0-1 (0-5-10),0,oshidashi,12239,M2w,Hokutofuji,1-0 (9-6),1
59,2019.01,1,12239,M2w,Hokutofuji,1-0 (9-6),1,oshidashi,6599,O2w,Tochinoshin,0-1 (0-5-10),0
60,2019.01,1,6468,O1w,Goeido,0-1 (9-6),0,uwatenage,6596,M2e,Nishikigi,1-0 (7-8),1
61,2019.01,1,6596,M2e,Nishikigi,1-0 (7-8),1,uwatenage,6468,O1w,Goeido,0-1 (9-6),0
62,2019.01,1,6480,O1e,Takayasu,0-1 (9-6),0,tsukidashi,12107,M1w,Ichinojo,1-0 (6-9),1
63,2019.01,1,12107,M1w,Ichinojo,1-0 (6-9),1,tsukidashi,6480,O1e,Takayasu,0-1 (9-6),0
64,2019.01,1,1219,Y2e,Kakuryu,1-0 (2-4-9),1,tsukidashi,6473,M1e,Tochiozan,0-1 (6-9),0
65,2019.01,1,6473,M1e,Tochiozan,0-1 (6-9),0,tsukidashi,1219,Y2e,Kakuryu,1-0 (2-4-9),1
66,2019.01,1,1123,Y1w,Hakuho,1-0 (10-4-1),1,hatakikomi,11784,K1e,Myogiryu,0-1 (5-10),0
67,2019.01,1,11784,K1e,Myogiryu,0-1 (5-10),0,hatakikomi,1123,Y1w,Hakuho,1-0 (10-4-1),1
68,2019.01,1,1235,Y1e,Kisenosato,0-1 (0-4),0,oshidashi,12210,K1w,Mitakeumi,1-0 (8-4-3),1
69,2019.01,1,12210,K1w,Mitakeumi,1-0 (8-4-3),1,oshidashi,1235,Y1e,Kisenosato,0-1 (0-4),0
70,2019.01,2,11972,Ms1e,Daiseido,0-2 (4-3),0,hikiotoshi,12255,J14w,Chiyonoumi,2-0 (8-5-2),1
71,2019.01,2,12255,J14w,Chiyonoumi,2-0 (8-5-2),1,hikiotoshi,11972,Ms1e,Daiseido,0-2 (4-3),0
72,2019.01,2,4980,J12w,Sokokurai,1-1 (8-7),1,hatakikomi,6572,J14e,Gagamaru,1-1 (8-7),0
73,2019.01,2,6572,J14e,Gagamaru,1-1 (8-7),0,hatakikomi,4980,J12w,Sokokurai,1-1 (8-7),1
74,2019.01,2,7239,J13e,Kyokushuho,1-1 (9-6),0,oshidashi,12024,J11e,Shimanoumi,2-0 (13-2),1
75,2019.01,2,12024,J11e,Shimanoumi,2-0 (13-2),1,oshidashi,7239,J13e,Kyokushuho,1-1 (9-6),0
76,2019.01,2,11971,J13w,Jokoryu,1-1 (5-9-1),1,shitatenage,12113,J11w,Tsurugisho,1-1 (8-7),0
77,2019.01,2,12113,J11w,Tsurugisho,1-1 (8-7),0,shitatenage,11971,J13w,Jokoryu,1-1 (5-9-1),1
78,2019.01,2,1284,J12e,Takekaze,0-2 (1-9),0,hatakikomi,12203,J10w,Tobizaru,1-1 (7-8),1
79,2019.01,2,12203,J10w,Tobizaru,1-1 (7-8),1,hatakikomi,1284,J12e,Takekaze,0-2 (1-9),0
80,2019.01,2,2832,J10e,Arawashi,1-1 (6-9),1,yorikiri,8899,J9e,Kyokutaisei,1-1 (7-8),0
81,2019.01,2,8899,J9e,Kyokutaisei,1-1 (7-8),0,yorikiri,2832,J10e,Arawashi,1-1 (6-9),1
82,2019.01,2,12026,J8w,Hidenoumi,1-1 (6-9),1,oshidashi,12406,J9w,Mitoryu,1-1 (6-9),0
83,2019.01,2,12406,J9w,Mitoryu,1-1 (6-9),0,oshidashi,12026,J8w,Hidenoumi,1-1 (6-9),1
84,2019.01,2,11723,J7e,Azumaryu,1-1 (7-8),1,uwatenage,12412,J8e,Enho,1-1 (9-6),0
85,2019.01,2,12412,J8e,Enho,1-1 (9-6),0,uwatenage,11723,J7e,Azumaryu,1-1 (7-8),1
86,2019.01,2,7240,J6w,Chiyomaru,2-0 (10-5),1,tsukiotoshi,8900,J7w,Akiseyama,0-2 (6-9),0
87,2019.01,2,8900,J7w,Akiseyama,0-2 (6-9),0,tsukiotoshi,7240,J6w,Chiyomaru,2-0 (10-5),1
88,2019.01,2,11943,J6e,Hakuyozan,1-1 (8-7),0,yorikiri,12370,J5e,Wakatakakage,1-1 (7-8),1
89,2019.01,2,12370,J5e,Wakatakakage,1-1 (7-8),1,yorikiri,11943,J6e,Hakuyozan,1-1 (8-7),0
90,2019.01,2,1227,J5w,Toyonoshima,1-1 (10-5),1,yorikiri,11726,J4w,Tokushoryu,1-1 (7-8),0
91,2019.01,2,11726,J4w,Tokushoryu,1-1 (7-8),0,yorikiri,1227,J5w,Toyonoshima,1-1 (10-5),1
92,2019.01,2,89,J3e,Aminishiki,1-1 (3-12),1,hikiotoshi,12427,J4e,Tomokaze,1-1 (10-5),0
93,2019.01,2,12427,J4e,Tomokaze,1-1 (10-5),0,hikiotoshi,89,J3e,Aminishiki,1-1 (3-12),1
94,2019.01,2,11868,J1e,Terutsuyoshi,1-1 (8-7),0,okuridashi,12051,J3w,Ishiura,1-1 (9-6),1
95,2019.01,2,12051,J3w,Ishiura,1-1 (9-6),1,okuridashi,11868,J1e,Terutsuyoshi,1-1 (8-7),0
96,2019.01,2,11855,J2w,Takanosho,1-1 (2-4-9),0,kotenage,12040,J1w,Daishoho,1-1 (8-7),1
97,2019.01,2,12040,J1w,Daishoho,1-1 (8-7),1,kotenage,11855,J2w,Takanosho,1-1 (2-4-9),0
98,2019.01,2,12077,J2e,Takagenji,1-1 (6-9),0,yorikiri,12273,M16e,Daiamami,1-1 (4-11),1
99,2019.01,2,12273,M16e,Daiamami,1-1 (4-11),1,yorikiri,12077,J2e,Takagenji,1-1 (6-9),0
100,2019.01,2,6642,M15e,Chiyonokuni,2-0 (8-3-4),1,tsukidashi,7153,M15w,Kotoeko,1-1 (7-8),0
101,2019.01,2,7153,M15w,Kotoeko,1-1 (7-8),0,tsukidashi,6642,M15e,Chiyonokuni,2-0 (8-3-4),1
102,2019.01,2,11785,M14w,Chiyoshoma,1-1 (6-9),1,okuridashi,12144,M16w,Daishomaru,0-2 (3-12),0
103,2019.01,2,12144,M16w,Daishomaru,0-2 (3-12),0,okuridashi,11785,M14w,Chiyoshoma,1-1 (6-9),1
104,2019.01,2,12292,M14e,Yutakayama,2-0 (6-9),1,oshidashi,12425,M13e,Yago,1-1 (9-6),0
105,2019.01,2,12425,M13e,Yago,1-1 (9-6),0,oshidashi,12292,M14e,Yutakayama,2-0 (6-9),1
106,2019.01,2,9079,M13w,Kotoyuki,1-1 (4-7-4),1,oshitaoshi,11946,M12w,Meisei,0-2 (8-7),0
107,2019.01,2,11946,M12w,Meisei,0-2 (8-7),0,oshitaoshi,9079,M13w,Kotoyuki,1-1 (4-7-4),1
108,2019.01,2,2879,M11e,Sadanoumi,1-1 (9-6),0,oshitaoshi,11845,M12e,Kagayaki,1-1 (6-9),1
109,2019.01,2,11845,M12e,Kagayaki,1-1 (6-9),1,oshitaoshi,2879,M11e,Sadanoumi,1-1 (9-6),0
110,2019.01,2,6491,M11w,Ikioi,1-1 (9-6),0,hikiotoshi,12094,M10w,Abi,1-1 (10-5),1
111,2019.01,2,12094,M10w,Abi,1-1 (10-5),1,hikiotoshi,6491,M11w,Ikioi,1-1 (9-6),0
112,2019.01,2,6753,M8e,Kaisei,2-0 (10-5),1,kotenage,11728,M10e,Takarafuji,0-2 (9-6),0
113,2019.01,2,11728,M10e,Takarafuji,0-2 (9-6),0,kotenage,6753,M8e,Kaisei,2-0 (10-5),1
114,2019.01,2,12055,M9w,Endo,2-0 (10-5),1,tsukidashi,12291,M8w,Asanoyama,0-2 (8-7),0
115,2019.01,2,12291,M8w,Asanoyama,0-2 (8-7),0,tsukidashi,12055,M9w,Endo,2-0 (10-5),1
116,2019.01,2,6594,M7e,Ryuden,1-1 (6-9),1,yorikiri,11934,M6e,Chiyotairyu,0-2 (8-7),0
117,2019.01,2,11934,M6e,Chiyotairyu,0-2 (8-7),0,yorikiri,6594,M7e,Ryuden,1-1 (6-9),1
118,2019.01,2,11985,M7w,Daieisho,1-1 (9-6),0,tsukiotoshi,12043,M6w,Onosho,2-0 (8-7),1
119,2019.01,2,12043,M6w,Onosho,2-0 (8-7),1,tsukiotoshi,11985,M7w,Daieisho,1-1 (9-6),0
120,2019.01,2,1226,M4e,Kotoshogiku,1-1 (6-9),0,hatakikomi,11786,M5e,Aoiyama,2-0 (7-8),1
