index,basho,day,rikishi1_id,rikishi1_rank,rikishi1_shikona,rikishi1_result,rikishi1_win,kimarite,rikishi2_id,rikishi2_rank,rikishi2_shikona,rikishi2_result,rikishi2_win
0,1996.01,1,177,J13w,Mutetsuyama,0-1 (8-7),0,okuridashi,1306,Ms1e,Hitachiryu,1-0 (2-5),1
1,1996.01,1,1306,Ms1e,Hitachiryu,1-0 (2-5),1,okuridashi,177,J13w,Mutetsuyama,0-1 (8-7),0
2,1996.01,1,63,J12w,Otsukasa,1-0 (4-11),1,hikiotoshi,68,J13e,Gokenzan,0-1 (5-10),0
3,1996.01,1,68,J13e,Gokenzan,0-1 (5-10),0,hikiotoshi,63,J12w,Otsukasa,1-0 (4-11),1
4,1996.01,1,8,J12e,Chiyotaikai,1-0 (9-6),1,oshidashi,1300,J11w,Daiki,0-1 (8-7),0
5,1996.01,1,1300,J11w,Daiki,0-1 (8-7),0,oshidashi,8,J12e,Chiyotaikai,1-0 (9-6),1
6,1996.01,1,22,J10w,Gojoro,1-0 (9-6),1,oshidashi,74,J11e,Kotokanyu,0-1 (8-7),0
7,1996.01,1,74,J11e,Kotokanyu,0-1 (8-7),0,oshidashi,22,J10w,Gojoro,1-0 (9-6),1
8,1996.01,1,35,J9w,Kyokushuzan,0-1 (8-7),0,yorikiri,51,J10e,Daizen,1-0 (9-6),1
9,1996.01,1,51,J10e,Daizen,1-0 (9-6),1,yorikiri,35,J9w,Kyokushuzan,0-1 (8-7),0
10,1996.01,1,57,J8w,Yamato,0-1 (6-9),0,oshidashi,1289,J9e,Rikio,1-0 (10-5),1
11,1996.01,1,1289,J9e,Rikio,1-0 (10-5),1,oshidashi,57,J8w,Yamato,0-1 (6-9),0
12,1996.01,1,29,J7w,Kotoryu,0-1 (9-6),0,yorikiri,73,J8e,Kanechika,1-0 (9-6),1
13,1996.01,1,73,J8e,Kanechika,1-0 (9-6),1,yorikiri,29,J7w,Kotoryu,0-1 (9-6),0
14,1996.01,1,66,J7e,Wakahayato,1-0 (10-5),1,yorikiri,1285,J6w,Asahisato,0-1 (8-7),0
15,1996.01,1,1285,J6w,Asahisato,0-1 (8-7),0,yorikiri,66,J7e,Wakahayato,1-0 (10-5),1
16,1996.01,1,60,J5w,Toyonoumi,1-0 (6-9),1,uwatenage,1291,J6e,Sunahama,0-1 (8-7),0
17,1996.01,1,1291,J6e,Sunahama,0-1 (8-7),0,uwatenage,60,J5w,Toyonoumi,1-0 (6-9),1
18,1996.01,1,1292,J4w,Kotogaume,1-0 (6-9),1,hatakikomi,1299,J5e,Kiraiho,0-1 (7-8),0
19,1996.01,1,1299,J5e,Kiraiho,0-1 (7-8),0,hatakikomi,1292,J4w,Kotogaume,1-0 (6-9),1
20,1996.01,1,20,J3w,Shikishima,1-0 (8-7),1,oshidashi,87,J4e,Wakanoyama,0-1 (8-7),0
21,1996.01,1,87,J4e,Wakanoyama,0-1 (8-7),0,oshidashi,20,J3w,Shikishima,1-0 (8-7),1
22,1996.01,1,27,J2w,Wakanojo,1-0 (3-12),1,uwatenage,75,J3e,Daihisho,0-1 (7-8),0
23,1996.01,1,75,J3e,Daihisho,0-1 (7-8),0,uwatenage,27,J2w,Wakanojo,1-0 (3-12),1
24,1996.01,1,24,J2e,Ganyu,0-1 (9-6),0,yorikiri,53,J1w,Tokitsunada,1-0 (7-8),1
25,1996.01,1,53,J1w,Tokitsunada,1-0 (7-8),1,yorikiri,24,J2e,Ganyu,0-1 (9-6),0
26,1996.01,1,17,M16e,Tamakasuga,1-0 (10-5),1,oshidashi,44,J1e,Kushimaumi,0-1 (7-8),0
27,1996.01,1,44,J1e,Kushimaumi,0-1 (7-8),0,oshidashi,17,M16e,Tamakasuga,1-0 (10-5),1
28,1996.01,1,42,M15e,Mainoumi,0-1 (9-6),0,yorikiri,1295,M15w,Kyokudozan,1-0 (9-6),1
29,1996.01,1,1295,M15w,Kyokudozan,1-0 (9-6),1,yorikiri,42,M15e,Mainoumi,0-1 (9-6),0
30,1996.01,1,26,M14e,Higonoumi,1-0 (9-6),1,yorikiri,52,M14w,Tomonohana,0-1 (7-8),0
31,1996.01,1,52,M14w,Tomonohana,0-1 (7-8),0,yorikiri,26,M14e,Higonoumi,1-0 (9-6),1
32,1996.01,1,62,M13w,Daishi,0-1 (8-7),0,hatakikomi,1301,M13e,Kirishima,1-0 (7-8),1
33,1996.01,1,1301,M13e,Kirishima,1-0 (7-8),1,hatakikomi,62,M13w,Daishi,0-1 (8-7),0
34,1996.01,1,15,M12e,Oginishiki,1-0 (8-7),1,hatakikomi,34,M12w,Asanowaka,0-1 (8-7),0
35,1996.01,1,34,M12w,Asanowaka,0-1 (8-7),0,hatakikomi,15,M12e,Oginishiki,1-0 (8-7),1
36,1996.01,1,11,M11w,Aogiyama,1-0 (8-7),1,oshidashi,48,M11e,Oginohana,0-1 (8-7),0
37,1996.01,1,48,M11e,Oginohana,0-1 (8-7),0,oshidashi,11,M11w,Aogiyama,1-0 (8-7),1
38,1996.01,1,25,M9w,Hamanoshima,1-0 (6-9),1,oshidashi,1296,M10w,Kasugafuji,0-1 (6-9),0
39,1996.01,1,1296,M10w,Kasugafuji,0-1 (6-9),0,oshidashi,25,M9w,Hamanoshima,1-0 (6-9),1
40,1996.01,1,45,M8w,Daishoho,0-1 (7-8),0,tsukiotoshi,1294,M9e,Naminohana,1-0 (9-6),1
41,1996.01,1,1294,M9e,Naminohana,1-0 (9-6),1,tsukiotoshi,45,M8w,Daishoho,0-1 (7-8),0
42,1996.01,1,36,M7w,Asanosho,0-1 (6-9),0,yorikiri,1287,M8e,Konishiki,1-0 (7-8),1
43,1996.01,1,1287,M8e,Konishiki,1-0 (7-8),1,yorikiri,36,M7w,Asanosho,0-1 (6-9),0
44,1996.01,1,30,M6w,Kitakachidoki,1-0 (5-10),1,katasukashi,33,M7e,Terao,0-1 (6-9),0
45,1996.01,1,33,M7e,Terao,0-1 (6-9),0,katasukashi,30,M6w,Kitakachidoki,1-0 (5-10),1
46,1996.01,1,23,M6e,Tochinowaka,1-0 (6-9),1,uwatenage,1288,M5w,Kotobeppu,0-1 (4-11),0
47,1996.01,1,1288,M5w,Kotobeppu,0-1 (4-11),0,uwatenage,23,M6e,Tochinowaka,1-0 (6-9),1
48,1996.01,1,21,M4w,Asahiyutaka,0-1 (6-9),0,sukuinage,1286,M5e,Kenko,1-0 (8-7),1
49,1996.01,1,1286,M5e,Kenko,1-0 (8-7),1,sukuinage,21,M4w,Asahiyutaka,0-1 (6-9),0
50,1996.01,1,9,M4e,Akinoshima,1-0 (9-6),1,yoritaoshi,16,M3w,Minatofuji,0-1 (4-11),0
51,1996.01,1,16,M3w,Minatofuji,0-1 (4-11),0,yoritaoshi,9,M4e,Akinoshima,1-0 (9-6),1
52,1996.01,1,12,S1w,Kotonishiki,0-1 (9-6),0,hatakikomi,49,M3e,Misugisato,1-0 (6-9),1
53,1996.01,1,49,M3e,Misugisato,1-0 (6-9),1,hatakikomi,12,S1w,Kotonishiki,0-1 (9-6),0
54,1996.01,1,7,S1e,Kaio,1-0 (10-5),1,oshidashi,37,M2w,Kotoinazuma,0-1 (2-13),0
55,1996.01,1,37,M2w,Kotoinazuma,0-1 (2-13),0,oshidashi,7,S1e,Kaio,1-0 (10-5),1
56,1996.01,1,5,O2e,Takanonami,1-0 (14-1),1,yorikiri,14,M2e,Kotonowaka,0-1 (5-10),0
57,1996.01,1,14,M2e,Kotonowaka,0-1 (5-10),0,yorikiri,5,O2e,Takanonami,1-0 (14-1),1
58,1996.01,1,4,O1w,Musashimaru,1-0 (9-6),1,oshidashi,13,K1e,Tosanoumi,0-1 (8-7),0
59,1996.01,1,13,K1e,Tosanoumi,0-1 (8-7),0,oshidashi,4,O1w,Musashimaru,1-0 (9-6),1
60,1996.01,1,3,O1e,Wakanohana,0-1 (0-4-11),0,yoritaoshi,28,M1w,Mitoizumi,1-0 (3-12),1
61,1996.01,1,28,M1w,Mitoizumi,1-0 (3-12),1,yoritaoshi,3,O1e,Wakanohana,0-1 (0-4-11),0
62,1996.01,1,1,Y1w,Akebono,0-1 (0-3-12),0,tottari,18,M1e,Takatoriki,1-0 (12-3),1
63,1996.01,1,18,M1e,Takatoriki,1-0 (12-3),1,tottari,1,Y1w,Akebono,0-1 (0-3-12),0
64,1996.01,1,2,Y1e,Takanohana,1-0 (14-1),1,tottari,6,K1w,Musoyama,0-1 (10-5),0
65,1996.01,1,6,K1w,Musoyama,0-1 (10-5),0,tottari,2,Y1e,Takanohana,1-0 (14-1),1
66,1996.01,2,68,J13e,Gokenzan,1-1 (5-10),1,yorikiri,79,Ms1w,Kotofujimoto,1-1 (4-3),0
