index,basho,day,rikishi1_id,rikishi1_rank,rikishi1_shikona,rikishi1_result,rikishi1_win,kimarite,rikishi2_id,rikishi2_rank,rikishi2_shikona,rikishi2_result,rikishi2_win
0,2009.01,1,365,J14w,Kotokuni,0-1 (9-6),0,uwatedashinage,1011,J14e,Hakuba,1-0 (11-4),1
1,2009.01,1,1011,J14e,Hakuba,1-0 (11-4),1,uwatedashinage,365,J14w,Kotokuni,0-1 (9-6),0
2,2009.01,1,795,J13w,Tamaasuka,0-1 (5-10),0,hatakikomi,6766,J13e,Kiyoseumi,1-0 (9-6),1
3,2009.01,1,6766,J13e,Kiyoseumi,1-0 (9-6),1,hatakikomi,795,J13w,Tamaasuka,0-1 (5-10),0
4,2009.01,1,175,J12e,Ushiomaru,0-1 (9-6),0,yorikiri,1136,J12w,Mokonami,1-0 (9-6),1
5,2009.01,1,1136,J12w,Mokonami,1-0 (9-6),1,yorikiri,175,J12e,Ushiomaru,0-1 (9-6),0
6,2009.01,1,70,J11w,Kitazakura,0-1 (5-10),0,katasukashi,113,J11e,Asofuji,1-0 (7-8),1
7,2009.01,1,113,J11e,Asofuji,1-0 (7-8),1,katasukashi,70,J11w,Kitazakura,0-1 (5-10),0
8,2009.01,1,511,J10w,Yotsuguruma,0-1 (6-9),0,sotogake,7138,J10e,Daishoumi,1-0 (7-8),1
9,2009.01,1,7138,J10e,Daishoumi,1-0 (7-8),1,sotogake,511,J10w,Yotsuguruma,0-1 (6-9),0
10,2009.01,1,226,J9e,Wakatenro,0-1 (6-9),0,hikiotoshi,900,J9w,Wakakoyu,1-0 (7-8),1
11,2009.01,1,900,J9w,Wakakoyu,1-0 (7-8),1,hikiotoshi,226,J9e,Wakatenro,0-1 (6-9),0
12,2009.01,1,40,J8w,Kaiho,1-0 (8-7),1,okurinage,63,J8e,Otsukasa,0-1 (6-9),0
13,2009.01,1,63,J8e,Otsukasa,0-1 (6-9),0,okurinage,40,J8w,Kaiho,1-0 (8-7),1
14,2009.01,1,813,J7w,Kitataiki,0-1 (7-8),0,yorikiri,1104,J7e,Hoshihikari,1-0 (7-8),1
15,2009.01,1,1104,J7e,Hoshihikari,1-0 (7-8),1,yorikiri,813,J7w,Kitataiki,0-1 (7-8),0
16,2009.01,1,107,J6e,Kasuganishiki,0-1 (7-8),0,uwatenage,5984,J6w,Shirononami,1-0 (5-10),1
17,2009.01,1,5984,J6w,Shirononami,1-0 (5-10),1,uwatenage,107,J6e,Kasuganishiki,0-1 (7-8),0
18,2009.01,1,865,J5w,Kasugao,0-1 (8-7),0,sukuinage,6620,J5e,Sakaizawa,1-0 (6-9),1
19,2009.01,1,6620,J5e,Sakaizawa,1-0 (6-9),1,sukuinage,865,J5w,Kasugao,0-1 (8-7),0
20,2009.01,1,78,J4e,Toyozakura,1-0 (10-5),1,yorikiri,206,J4w,Kotokasuga,0-1 (6-9),0
21,2009.01,1,206,J4w,Kotokasuga,0-1 (6-9),0,yorikiri,78,J4e,Toyozakura,1-0 (10-5),1
22,2009.01,1,924,J3e,Wakakirin,0-1 (9-6),0,oshidashi,7115,J3w,Tosayutaka,1-0 (9-6),1
23,2009.01,1,7115,J3w,Tosayutaka,1-0 (9-6),1,oshidashi,924,J3e,Wakakirin,0-1 (9-6),0
24,2009.01,1,371,J2w,Kyokunankai,1-0 (4-11),1,okuridashi,1018,J2e,Shimotori,0-1 (10-5),0
25,2009.01,1,1018,J2e,Shimotori,0-1 (10-5),0,okuridashi,371,J2w,Kyokunankai,1-0 (4-11),1
26,2009.01,1,1141,J1e,Shotenro,1-0 (11-4),1,hikiotoshi,6010,J1w,Kimurayama,0-1 (9-6),0
27,2009.01,1,6010,J1w,Kimurayama,0-1 (9-6),0,hikiotoshi,1141,J1e,Shotenro,1-0 (11-4),1
28,2009.01,1,6018,M16e,Homasho,1-0 (11-4),1,uwatedashinage,6769,M15w,Yamamotoyama,0-1 (8-7),0
29,2009.01,1,6769,M15w,Yamamotoyama,0-1 (8-7),0,uwatedashinage,6018,M16e,Homasho,1-0 (11-4),1
30,2009.01,1,152,M15e,Tamanoshima,1-0 (11-4),1,yorikiri,2847,M14w,Masatsukasa,0-1 (4-11),0
31,2009.01,1,2847,M14w,Masatsukasa,0-1 (4-11),0,yorikiri,152,M15e,Tamanoshima,1-0 (11-4),1
32,2009.01,1,1106,M13w,Koryu,0-1 (5-10),0,oshidashi,6467,M14e,Toyohibiki,1-0 (5-10),1
