index,basho,day,rikishi1_id,rikishi1_rank,rikishi1_shikona,rikishi1_result,rikishi1_win,kimarite,rikishi2_id,rikishi2_rank,rikishi2_shikona,rikishi2_result,rikishi2_win
0,2004.01,1,149,J14w,Juzan,1-0 (9-6),1,yorikiri,216,Ms1e,Raiko,0-1 (2-5),0
1,2004.01,1,216,Ms1e,Raiko,0-1 (2-5),0,yorikiri,149,J14w,Juzan,1-0 (9-6),1
2,2004.01,1,15,J13w,Oginishiki,0-1 (4-9),0,oshitaoshi,222,J14e,Sumanofuji,1-0 (8-7),1
3,2004.01,1,222,J14e,Sumanofuji,1-0 (8-7),1,oshitaoshi,15,J13w,Oginishiki,0-1 (4-9),0
4,2004.01,1,103,J12w,Tochifudo,0-1 (5-10),0,shitatedashinage,874,J13e,Hamanishiki,1-0 (8-7),1
5,2004.01,1,874,J13e,Hamanishiki,1-0 (8-7),1,shitatedashinage,103,J12w,Tochifudo,0-1 (5-10),0
6,2004.01,1,864,J11w,Bushuyama,0-1 (7-8),0,yorikiri,1123,J12e,Hakuho,1-0 (9-6),1
7,2004.01,1,1123,J12e,Hakuho,1-0 (9-6),1,yorikiri,864,J11w,Bushuyama,0-1 (7-8),0
8,2004.01,1,116,J11e,Nakao,1-0 (9-6),1,oshidashi,122,J10w,Daimanazuru,0-1 (6-9),0
9,2004.01,1,122,J10w,Daimanazuru,0-1 (6-9),0,oshidashi,116,J11e,Nakao,1-0 (9-6),1
10,2004.01,1,68,J10e,Gokenzan,0-1 (4-11),0,okuridashi,1421,J9w,Roho,1-0 (11-4),1
11,2004.01,1,1421,J9w,Roho,1-0 (11-4),1,okuridashi,68,J10e,Gokenzan,0-1 (4-11),0
12,2004.01,1,56,J9e,Masutsuyoshi,1-0 (5-10),1,tsukiotoshi,226,J8w,Wakatenro,0-1 (0-4-11),0
13,2004.01,1,226,J8w,Wakatenro,0-1 (0-4-11),0,tsukiotoshi,56,J9e,Masutsuyoshi,1-0 (5-10),1
14,2004.01,1,87,J6w,Wakanoyama,1-0 (11-4),1,yorikiri,130,J8e,Kaido,0-1 (8-7),0
15,2004.01,1,130,J8e,Kaido,0-1 (8-7),0,yorikiri,87,J6w,Wakanoyama,1-0 (11-4),1
16,2004.01,1,69,J5w,Towanoyama,1-0 (7-8),1,hatakikomi,97,J6e,Tochinohana,0-1 (1-8-6),0
17,2004.01,1,97,J6e,Tochinohana,0-1 (1-8-6),0,hatakikomi,69,J5w,Towanoyama,1-0 (7-8),1
18,2004.01,1,225,J5e,Takanotsuru,1-0 (6-9),1,katasukashi,2834,J4w,Futeno,0-1 (10-5),0
19,2004.01,1,2834,J4w,Futeno,0-1 (10-5),0,katasukashi,225,J5e,Takanotsuru,1-0 (6-9),1
20,2004.01,1,47,J3w,Chiyotenzan,1-0 (11-4),1,tsukiotoshi,58,J4e,Oikari,0-1 (9-6),0
21,2004.01,1,58,J4e,Oikari,0-1 (9-6),0,tsukiotoshi,47,J3w,Chiyotenzan,1-0 (11-4),1
22,2004.01,1,92,J3e,Harunoyama,1-0 (10-5),1,yorikiri,865,J2w,Kasugao,0-1 (5-10),0
23,2004.01,1,865,J2w,Kasugao,0-1 (5-10),0,yorikiri,92,J3e,Harunoyama,1-0 (10-5),1
24,2004.01,1,63,J2e,Otsukasa,1-0 (8-7),1,yoritaoshi,145,J1w,Kobo,0-1 (7-8),0
25,2004.01,1,145,J1w,Kobo,0-1 (7-8),0,yoritaoshi,63,J2e,Otsukasa,1-0 (8-7),1
26,2004.01,1,78,J1e,Toyozakura,0-1 (8-7),0,tsukite,129,M17e,Hayateumi,1-0 (7-8),1
27,2004.01,1,129,M17e,Hayateumi,1-0 (7-8),1,tsukite,78,J1e,Toyozakura,0-1 (8-7),0
28,2004.01,1,17,M16w,Tamakasuga,0-1 (7-8),0,hikiotoshi,34,M16e,Asanowaka,1-0 (10-5),1
29,2004.01,1,34,M16e,Asanowaka,1-0 (10-5),1,hikiotoshi,17,M16w,Tamakasuga,0-1 (7-8),0
30,2004.01,1,40,M15w,Kaiho,1-0 (7-8),1,kirikaeshi,70,M15e,Kitazakura,0-1 (3-12),0
31,2004.01,1,70,M15e,Kitazakura,0-1 (3-12),0,kirikaeshi,40,M15w,Kaiho,1-0 (7-8),1
