index,basho,day,rikishi1_id,rikishi1_rank,rikishi1_shikona,rikishi1_result,rikishi1_win,kimarite,rikishi2_id,rikishi2_rank,rikishi2_shikona,rikishi2_result,rikishi2_win
0,2015.01,1,6654,J14w,Masunoyama,0-1 (9-6),0,oshitaoshi,7143,Ms1e,Kawanari,1-0 (4-3),1
1,2015.01,1,7143,Ms1e,Kawanari,1-0 (4-3),1,oshitaoshi,6654,J14w,Masunoyama,0-1 (9-6),0
2,2015.01,1,2909,J14e,Sakigake,1-0 (5-10),1,hatakikomi,6600,J13w,Tochihiryu,0-1 (4-11),0
3,2015.01,1,6600,J13w,Tochihiryu,0-1 (4-11),0,hatakikomi,2909,J14e,Sakigake,1-0 (5-10),1
4,2015.01,1,7121,J12w,Tokushinho,0-1 (5-10),0,tsukiotoshi,11985,J13e,Daieisho,1-0 (10-5),1
5,2015.01,1,11985,J13e,Daieisho,1-0 (10-5),1,tsukiotoshi,7121,J12w,Tokushinho,0-1 (5-10),0
6,2015.01,1,11723,J12e,Azumaryu,1-0 (6-9),1,yorikiri,12026,J11w,Hidenoumi,0-1 (9-6),0
7,2015.01,1,12026,J11w,Hidenoumi,0-1 (9-6),0,yorikiri,11723,J12e,Azumaryu,1-0 (6-9),1
8,2015.01,1,8900,J10w,Akiseyama,0-1 (6-9),0,oshidashi,12043,J11e,Onosho,1-0 (8-7),1
9,2015.01,1,12043,J11e,Onosho,1-0 (8-7),1,oshidashi,8900,J10w,Akiseyama,0-1 (6-9),0
10,2015.01,1,6552,J9w,Sotairyu,0-1 (6-9),0,yorikiri,11840,J10e,Chiyoo,1-0 (8-7),1
11,2015.01,1,11840,J10e,Chiyoo,1-0 (8-7),1,yorikiri,6552,J9w,Sotairyu,0-1 (6-9),0
12,2015.01,1,6559,J9e,Seiro,0-1 (9-6),0,yorikiri,11845,J8w,Kagayaki,1-0 (11-4),1
13,2015.01,1,11845,J8w,Kagayaki,1-0 (11-4),1,yorikiri,6559,J9e,Seiro,0-1 (9-6),0
14,2015.01,1,2851,J8e,Fujiazuma,1-0 (9-6),1,tsukidashi,5985,J7w,Satoyama,0-1 (5-10),0
15,2015.01,1,5985,J7w,Satoyama,0-1 (5-10),0,tsukidashi,2851,J8e,Fujiazuma,1-0 (9-6),1
16,2015.01,1,795,J6e,Tamaasuka,0-1 (8-7),0,uwatenage,6770,J7e,Tenkaiho,1-0 (7-8),1
17,2015.01,1,6770,J7e,Tenkaiho,1-0 (7-8),1,uwatenage,795,J6e,Tamaasuka,0-1 (8-7),0
18,2015.01,1,1141,J5e,Shotenro,0-1 (5-10),0,okuridashi,1241,J5w,Kitaharima,1-0 (6-9),1
19,2015.01,1,1241,J5w,Kitaharima,1-0 (6-9),1,okuridashi,1141,J5e,Shotenro,0-1 (5-10),0
