index,basho,day,rikishi1_id,rikishi1_rank,rikishi1_shikona,rikishi1_result,rikishi1_win,kimarite,rikishi2_id,rikishi2_rank,rikishi2_shikona,rikishi2_result,rikishi2_win
0,1988.01,1,51,Ms1e,Daizen,0-1 (6-1),0,yorikiri,1331,J13w,Saganobori,1-0 (8-7),1
1,1988.01,1,1331,J13w,Saganobori,1-0 (8-7),1,yorikiri,51,Ms1e,Daizen,0-1 (6-1),0
2,1988.01,1,1433,J12w,Kitafubuki,1-0 (5-10),1,yorikiri,1496,J13e,Seionada,0-1 (0-15),0
3,1988.01,1,1496,J13e,Seionada,0-1 (0-15),0,yorikiri,1433,J12w,Kitafubuki,1-0 (5-10),1
4,1988.01,1,1377,J12e,Iwatefuji,0-1 (4-11),0,tsukidashi,4138,J11w,Tochimatoi,1-0 (8-7),1
5,1988.01,1,4138,J11w,Tochimatoi,1-0 (8-7),1,tsukidashi,1377,J12e,Iwatefuji,0-1 (4-11),0
6,1988.01,1,1296,J11e,Kasugafuji,0-1 (8-7),0,tsukiotoshi,4140,J10w,Chikubayama,1-0 (7-8),1
7,1988.01,1,4140,J10w,Chikubayama,1-0 (7-8),1,tsukiotoshi,1296,J11e,Kasugafuji,0-1 (8-7),0
8,1988.01,1,1365,J10e,Hananofuji,0-1 (7-8),0,shitatenage,4094,J9w,Onishiki,1-0 (5-10),1
9,1988.01,1,4094,J9w,Onishiki,1-0 (5-10),1,shitatenage,1365,J10e,Hananofuji,0-1 (7-8),0
10,1988.01,1,1380,J8w,Hidanohana,1-0 (9-6),1,tsukiotoshi,1397,J9e,Ishinriki,0-1 (9-6),0
11,1988.01,1,1397,J9e,Ishinriki,0-1 (9-6),0,tsukiotoshi,1380,J8w,Hidanohana,1-0 (9-6),1
12,1988.01,1,1303,J8e,Kotofuji,1-0 (8-7),1,yorikiri,1356,J7w,Kinoarashi,0-1 (7-8),0
13,1988.01,1,1356,J7w,Kinoarashi,0-1 (7-8),0,yorikiri,1303,J8e,Kotofuji,1-0 (8-7),1
14,1988.01,1,1358,J7e,Hoshiiwato,0-1 (8-7),0,yorikiri,1374,J6w,Kurama,1-0 (8-7),1
15,1988.01,1,1374,J6w,Kurama,1-0 (8-7),1,yorikiri,1358,J7e,Hoshiiwato,0-1 (8-7),0
16,1988.01,1,30,J5w,Kitakachidoki,0-1 (8-7),0,utchari,60,J6e,Takanohama,1-0 (8-7),1
17,1988.01,1,60,J6e,Takanohama,1-0 (8-7),1,utchari,30,J5w,Kitakachidoki,0-1 (8-7),0
18,1988.01,1,1317,J4w,Hananokuni,1-0 (10-5),1,yorikiri,4131,J5e,Tochitsurugi,0-1 (5-10),0
19,1988.01,1,4131,J5e,Tochitsurugi,0-1 (5-10),0,yorikiri,1317,J4w,Hananokuni,1-0 (10-5),1
20,1988.01,1,9,J4e,Akinoshima,1-0 (12-3),1,tsukiotoshi,1375,J3w,Masudayama,0-1 (5-10),0
21,1988.01,1,1375,J3w,Masudayama,0-1 (5-10),0,tsukiotoshi,9,J4e,Akinoshima,1-0 (12-3),1
22,1988.01,1,28,J2w,Mitoizumi,0-1 (10-5),0,kubinage,49,J3e,Misugisato,1-0 (9-6),1
23,1988.01,1,49,J3e,Misugisato,1-0 (9-6),1,kubinage,28,J2w,Mitoizumi,0-1 (10-5),0
24,1988.01,1,1334,J2e,Wakasegawa,1-0 (8-7),1,yoritaoshi,1378,J1w,Hoo,0-1 (4-11),0
25,1988.01,1,1378,J1w,Hoo,0-1 (4-11),0,yoritaoshi,1334,J2e,Wakasegawa,1-0 (8-7),1
26,1988.01,1,1362,J1e,Onohana,0-1 (8-7),0,yorikiri,1364,M13w,Masurao,1-0 (9-6),1
27,1988.01,1,1364,M13w,Masurao,1-0 (9-6),1,yorikiri,1362,J1e,Onohana,0-1 (8-7),0
28,1988.01,1,1353,M13e,Daijuyama,1-0 (10-5),1,tsukiotoshi,4141,M12e,Nankairyu,0-1 (8-7),0
29,1988.01,1,4141,M12e,Nankairyu,0-1 (8-7),0,tsukiotoshi,1353,M13e,Daijuyama,1-0 (10-5),1
30,1988.01,1,37,M11w,Kotoinazuma,1-0 (6-9),1,hatakikomi,1302,M12w,Takamisugi,0-1 (9-6),0
31,1988.01,1,1302,M12w,Takamisugi,0-1 (9-6),0,hatakikomi,37,M11w,Kotoinazuma,1-0 (6-9),1
32,1988.01,1,1348,M11e,Jingaku,1-0 (8-7),1,yorikiri,1369,M10w,Toryu,0-1 (7-8),0
33,1988.01,1,1369,M10w,Toryu,0-1 (7-8),0,yorikiri,1348,M11e,Jingaku,1-0 (8-7),1
34,1988.01,1,1301,M9w,Kirishima,0-1 (7-8),0,oshidashi,1347,M10e,Itai,1-0 (8-7),1
35,1988.01,1,1347,M10e,Itai,1-0 (8-7),1,oshidashi,1301,M9w,Kirishima,0-1 (7-8),0
36,1988.01,1,1345,M8w,Tamaryu,0-1 (5-10),0,yorikiri,4126,M9e,Sadanoumi,1-0 (7-8),1
37,1988.01,1,4126,M9e,Sadanoumi,1-0 (7-8),1,yorikiri,1345,M8w,Tamaryu,0-1 (5-10),0
38,1988.01,1,1315,M8e,Enazakura,0-1 (8-7),0,oshidashi,4116,M7w,Dewanohana,1-0 (4-11),1
39,1988.01,1,4116,M7w,Dewanohana,1-0 (4-11),1,oshidashi,1315,M8e,Enazakura,0-1 (8-7),0
40,1988.01,1,1292,M7e,Kotogaume,1-0 (12-3),1,oshidashi,1372,M6w,Maenoshin,0-1 (6-9),0
41,1988.01,1,1372,M6w,Maenoshin,0-1 (6-9),0,oshidashi,1292,M7e,Kotogaume,1-0 (12-3),1
42,1988.01,1,1333,M6e,Sasshunada,0-1 (9-6),0,yoritaoshi,1359,M5w,Koboyama,1-0 (8-7),1
43,1988.01,1,1359,M5w,Koboyama,1-0 (8-7),1,yoritaoshi,1333,M6e,Sasshunada,0-1 (9-6),0
44,1988.01,1,1361,M5e,Daitetsu,0-1 (5-10),0,oshidashi,1376,M4w,Hananoumi,1-0 (8-7),1
45,1988.01,1,1376,M4w,Hananoumi,1-0 (8-7),1,oshidashi,1361,M5e,Daitetsu,0-1 (5-10),0
46,1988.01,1,1310,M4e,Kirinishiki,1-0 (4-11),1,yoritaoshi,1338,M2e,Ozutsu,0-1 (4-11),0
47,1988.01,1,1338,M2e,Ozutsu,0-1 (4-11),0,yoritaoshi,1310,M4e,Kirinishiki,1-0 (4-11),1
48,1988.01,1,23,M1w,Tochinowaka,1-0 (8-7),1,tsuridashi,1367,M1e,Fujinoshin,0-1 (5-10),0
49,1988.01,1,1367,M1e,Fujinoshin,0-1 (5-10),0,tsuridashi,23,M1w,Tochinowaka,1-0 (8-7),1
50,1988.01,1,1335,M2w,Takanofuji,0-1 (3-12),0,yorikiri,1379,O2wHD,Asashio,1-0 (9-6),1
51,1988.01,1,1379,O2wHD,Asashio,1-0 (9-6),1,yorikiri,1335,M2w,Takanofuji,0-1 (3-12),0
52,1988.01,1,1287,O2eHD,Konishiki,1-0 (13-2),1,tsukidashi,1352,M3w,Tagaryu,0-1 (4-11),0
53,1988.01,1,1352,M3w,Tagaryu,0-1 (4-11),0,tsukidashi,1287,O2eHD,Konishiki,1-0 (13-2),1
54,1988.01,1,33,M3e,Terao,0-1 (7-8),0,tsukiotoshi,1363,O1w,Hokutenyu,1-0 (9-6),1
55,1988.01,1,1363,O1w,Hokutenyu,1-0 (9-6),1,tsukiotoshi,33,M3e,Terao,0-1 (7-8),0
56,1988.01,1,1332,S1e,Sakahoko,0-1 (9-6),0,tsukiotoshi,1342,O1e,Asahifuji,1-0 (14-1),1
57,1988.01,1,1342,O1e,Asahifuji,1-0 (14-1),1,tsukiotoshi,1332,S1e,Sakahoko,0-1 (9-6),0
58,1988.01,1,1337,S1w,Tochitsukasa,0-1 (7-8),0,okuridashi,1350,Y2wHD,Onokuni,1-0 (5-5-5),1
59,1988.01,1,1350,Y2wHD,Onokuni,1-0 (5-5-5),1,okuridashi,1337,S1w,Tochitsukasa,0-1 (7-8),0
60,1988.01,1,1330,K1e,Ryogoku,0-1 (5-10),0,uwatenage,1339,Y1w,Hokutoumi,1-0 (11-4),1
61,1988.01,1,1339,Y1w,Hokutoumi,1-0 (11-4),1,uwatenage,1330,K1e,Ryogoku,0-1 (5-10),0
62,1988.01,1,1354,Y1e,Chiyonofuji,1-0 (12-3),1,yorikiri,4099,K1w,Kirinji,0-1 (2-13),0
63,1988.01,1,4099,K1w,Kirinji,0-1 (2-13),0,yorikiri,1354,Y1e,Chiyonofuji,1-0 (12-3),1
64,1988.01,2,1496,J13e,Seionada,0-2 (0-15),0,yorikiri,4078,Ms1w,Oshio,1-1 (2-5),1
65,1988.01,2,4078,Ms1w,Oshio,1-1 (2-5),1,yorikiri,1496,J13e,Seionada,0-2 (0-15),0
66,1988.01,2,1356,J7w,Kinoarashi,0-2 (7-8),0,shitatenage,1380,J8w,Hidanohana,2-0 (9-6),1
67,1988.01,2,1380,J8w,Hidanohana,2-0 (9-6),1,shitatenage,1356,J7w,Kinoarashi,0-2 (7-8),0
68,1988.01,2,60,J6e,Takanohama,2-0 (8-7),1,oshidashi,1358,J7e,Hoshiiwato,0-2 (8-7),0
69,1988.01,2,1358,J7e,Hoshiiwato,0-2 (8-7),0,oshidashi,60,J6e,Takanohama,2-0 (8-7),1
70,1988.01,2,1331,J13w,Saganobori,1-1 (8-7),0,uwatenage,1374,J6w,Kurama,2-0 (8-7),1
71,1988.01,2,1374,J6w,Kurama,2-0 (8-7),1,uwatenage,1331,J13w,Saganobori,1-1 (8-7),0
72,1988.01,2,4094,J9w,Onishiki,2-0 (5-10),1,yorikiri,4131,J5e,Tochitsurugi,0-2 (5-10),0
73,1988.01,2,4131,J5e,Tochitsurugi,0-2 (5-10),0,yorikiri,4094,J9w,Onishiki,2-0 (5-10),1
74,1988.01,2,30,J5w,Kitakachidoki,1-1 (8-7),1,yorikiri,4140,J10w,Chikubayama,1-1 (7-8),0
75,1988.01,2,4140,J10w,Chikubayama,1-1 (7-8),0,yorikiri,30,J5w,Kitakachidoki,1-1 (8-7),1
76,1988.01,2,9,J4e,Akinoshima,2-0 (12-3),1,uwatenage,1433,J12w,Kitafubuki,1-1 (5-10),0
77,1988.01,2,1433,J12w,Kitafubuki,1-1 (5-10),0,uwatenage,9,J4e,Akinoshima,2-0 (12-3),1
78,1988.01,2,1317,J4w,Hananokuni,2-0 (10-5),1,yoritaoshi,1377,J12e,Iwatefuji,0-2 (4-11),0
79,1988.01,2,1377,J12e,Iwatefuji,0-2 (4-11),0,yoritaoshi,1317,J4w,Hananokuni,2-0 (10-5),1
80,1988.01,2,49,J3e,Misugisato,1-1 (9-6),0,hatakikomi,4138,J11w,Tochimatoi,2-0 (8-7),1
81,1988.01,2,4138,J11w,Tochimatoi,2-0 (8-7),1,hatakikomi,49,J3e,Misugisato,1-1 (9-6),0
82,1988.01,2,1296,J11e,Kasugafuji,1-1 (8-7),1,oshidashi,1375,J3w,Masudayama,0-2 (5-10),0
83,1988.01,2,1375,J3w,Masudayama,0-2 (5-10),0,oshidashi,1296,J11e,Kasugafuji,1-1 (8-7),1
84,1988.01,2,1334,J2e,Wakasegawa,2-0 (8-7),1,yorikiri,1365,J10e,Hananofuji,0-2 (7-8),0
85,1988.01,2,1365,J10e,Hananofuji,0-2 (7-8),0,yorikiri,1334,J2e,Wakasegawa,2-0 (8-7),1
86,1988.01,2,28,J2w,Mitoizumi,1-1 (10-5),1,yorikiri,1397,J9e,Ishinriki,0-2 (9-6),0
87,1988.01,2,1397,J9e,Ishinriki,0-2 (9-6),0,yorikiri,28,J2w,Mitoizumi,1-1 (10-5),1
88,1988.01,2,1303,J8e,Kotofuji,2-0 (8-7),1,yorikiri,1362,J1e,Onohana,0-2 (8-7),0
89,1988.01,2,1362,J1e,Onohana,0-2 (8-7),0,yorikiri,1303,J8e,Kotofuji,2-0 (8-7),1
90,1988.01,2,1353,M13e,Daijuyama,2-0 (10-5),1,yorikiri,1378,J1w,Hoo,0-2 (4-11),0
91,1988.01,2,1378,J1w,Hoo,0-2 (4-11),0,yorikiri,1353,M13e,Daijuyama,2-0 (10-5),1
92,1988.01,2,1347,M10e,Itai,2-0 (8-7),1,oshidashi,4126,M9e,Sadanoumi,1-1 (7-8),0
93,1988.01,2,4126,M9e,Sadanoumi,1-1 (7-8),0,oshidashi,1347,M10e,Itai,2-0 (8-7),1
94,1988.01,2,1301,M9w,Kirishima,1-1 (7-8),1,yorikiri,1369,M10w,Toryu,0-2 (7-8),0
95,1988.01,2,1369,M10w,Toryu,0-2 (7-8),0,yorikiri,1301,M9w,Kirishima,1-1 (7-8),1
96,1988.01,2,1345,M8w,Tamaryu,1-1 (5-10),1,yorikiri,1348,M11e,Jingaku,1-1 (8-7),0
97,1988.01,2,1348,M11e,Jingaku,1-1 (8-7),0,yorikiri,1345,M8w,Tamaryu,1-1 (5-10),1
98,1988.01,2,1292,M7e,Kotogaume,2-0 (12-3),1,yorikiri,1364,M13w,Masurao,1-1 (9-6),0
99,1988.01,2,1364,M13w,Masurao,1-1 (9-6),0,yorikiri,1292,M7e,Kotogaume,2-0 (12-3),1
100,1988.01,2,37,M11w,Kotoinazuma,1-1 (6-9),0,uwatenage,4116,M7w,Dewanohana,2-0 (4-11),1
101,1988.01,2,4116,M7w,Dewanohana,2-0 (4-11),1,uwatenage,37,M11w,Kotoinazuma,1-1 (6-9),0
102,1988.01,2,1333,M6e,Sasshunada,1-1 (9-6),1,oshidashi,4141,M12e,Nankairyu,0-2 (8-7),0
103,1988.01,2,4141,M12e,Nankairyu,0-2 (8-7),0,oshidashi,1333,M6e,Sasshunada,1-1 (9-6),1
