index,basho,day,rikishi1_id,rikishi1_rank,rikishi1_shikona,rikishi1_result,rikishi1_win,kimarite,rikishi2_id,rikishi2_rank,rikishi2_shikona,rikishi2_result,rikishi2_win
0,1994.01,1,144,Ms1e,Ryudo,0-1 (4-3),0,yoritaoshi,1310,J13e,Kirinishiki,1-0 (8-7),1
1,1994.01,1,1310,J13e,Kirinishiki,1-0 (8-7),1,yoritaoshi,144,Ms1e,Ryudo,0-1 (4-3),0
2,1994.01,1,76,J13w,Hoshitango,1-0 (10-5),1,tsukiotoshi,372,J12w,Chokairyu,0-1 (6-9),0
3,1994.01,1,372,J12w,Chokairyu,0-1 (6-9),0,tsukiotoshi,76,J13w,Hoshitango,1-0 (10-5),1
4,1994.01,1,174,J11w,Mutsuhokkai,1-0 (8-7),1,hatakikomi,1316,J12e,Oyamato,0-1 (5-10),0
5,1994.01,1,1316,J12e,Oyamato,0-1 (5-10),0,hatakikomi,174,J11w,Mutsuhokkai,1-0 (8-7),1
6,1994.01,1,55,J10w,Zenshinyama,1-0 (8-7),1,yorikiri,140,J11e,Ohidake,0-1 (4-11),0
7,1994.01,1,140,J11e,Ohidake,0-1 (4-11),0,yorikiri,55,J10w,Zenshinyama,1-0 (8-7),1
8,1994.01,1,82,J9w,Tochitenko,1-0 (5-10),1,yorikiri,1315,J10e,Enazakura,0-1 (7-8),0
9,1994.01,1,1315,J10e,Enazakura,0-1 (7-8),0,yorikiri,82,J9w,Tochitenko,1-0 (5-10),1
10,1994.01,1,20,J8w,Shikishima,1-0 (6-9),1,yorikiri,73,J9e,Kanechika,0-1 (7-8),0
11,1994.01,1,73,J9e,Kanechika,0-1 (7-8),0,yorikiri,20,J8w,Shikishima,1-0 (6-9),1
12,1994.01,1,157,J8e,Tomoefuji,1-0 (7-8),1,yorikiri,1317,J7w,Hananokuni,0-1 (2-6-7),0
13,1994.01,1,1317,J7w,Hananokuni,0-1 (2-6-7),0,yorikiri,157,J8e,Tomoefuji,1-0 (7-8),1
14,1994.01,1,21,J7e,Asahiyutaka,0-1 (7-8),0,yorikiri,1306,J6w,Hitachiryu,1-0 (8-7),1
15,1994.01,1,1306,J6w,Hitachiryu,1-0 (8-7),1,yorikiri,21,J7e,Asahiyutaka,0-1 (7-8),0
16,1994.01,1,62,J5w,Daishi,0-1 (7-8),0,okuridashi,1294,J6e,Naminohana,1-0 (11-4),1
17,1994.01,1,1294,J6e,Naminohana,1-0 (11-4),1,okuridashi,62,J5w,Daishi,0-1 (7-8),0
18,1994.01,1,48,J4w,Oginohana,1-0 (5-10),1,kubinage,160,J5e,Tatsuhikari,0-1 (6-9),0
19,1994.01,1,160,J5e,Tatsuhikari,0-1 (6-9),0,kubinage,48,J4w,Oginohana,1-0 (5-10),1
20,1994.01,1,1292,J3w,Kotogaume,0-1 (10-5),0,yorikiri,1305,J4e,Kyokugozan,1-0 (8-7),1
21,1994.01,1,1305,J4e,Kyokugozan,1-0 (8-7),1,yorikiri,1292,J3w,Kotogaume,0-1 (10-5),0
22,1994.01,1,16,J2w,Minatofuji,1-0 (8-7),1,tsukiotoshi,91,J3e,Hoshiandesu,0-1 (8-7),0
23,1994.01,1,91,J3e,Hoshiandesu,0-1 (8-7),0,tsukiotoshi,16,J2w,Minatofuji,1-0 (8-7),1
24,1994.01,1,11,J1w,Aogiyama,1-0 (9-6),1,hikiotoshi,1285,J2e,Asahisato,0-1 (9-6),0
25,1994.01,1,1285,J2e,Asahisato,0-1 (9-6),0,hikiotoshi,11,J1w,Aogiyama,1-0 (9-6),1
